Callsign,Aircraft Type,Departure,Destination,Departure Time (UTC)
AIC102,A359,KJFK,VIDP,N/A
FPY621,A21N,GCTS,BIKF,N/A
THY31,B789,LTFM,KATL,N/A
RAM207,B788,CYUL,GMMN,N/A
RYR2012,B738,GCLP,LEMD,N/A
AIC104,B77W,KIAD,VIDP,N/A
RAM208,B789,GMMN,CYUL,N/A
VOE2329,A320,GCFV,LFLL,N/A
VJT762,GL7T,EGLF,KLAX,N/A
EIN53,A332,EIDW,KSEA,N/A
DJT102,A21N,LFPO,KEWR,N/A
THY35,B789,LTFM,CYUL,N/A
EZY8044,A320,GCFV,EGKK,N/A
AEA63,B789,LEMD,MMUN,N/A
TOM76T,B788,GCTS,Unknown,N/A
CGPWY,,CYYR,Unknown,N/A
UZB102,B788,KJFK,UTTT,N/A
EIN125,A333,EIDW,KORD,N/A
AIC116,B77W,KJFK,VABB,N/A
N104AR,GA5C,LSGG,TXKF,N/A
CFMTE,,,Unknown,N/A
RYR2970,B738,GCTS,EGPH,N/A
ETH501,A359,KIAD,HAAB,N/A
AEA71,B788,LEMD,SVMI,N/A
DLH404,A343,EDDF,KJFK,N/A
FPY641,A20N,GCLP,BIKF,N/A
IBS1623,A320,LEMD,GCLP,N/A
RYR4756,B38M,GCRR,EGGD,N/A
ACA2093,A319,CYYT,CYYZ,N/A
AFR174,B789,LFPG,MMMX,N/A
DAL4,B764,EGLL,KJFK,N/A
FBU710,A359,LFPO,KSFO,N/A
RYR4758,B738,GCLP,EGGD,N/A
DAL85,A359,LFPG,KATL,N/A
EIN765,A320,GCTS,EIDW,N/A
VIR5,A339,EGLL,KMIA,N/A
EIN137,A21N,EIDW,KBOS,N/A
DLH412,A359,EDDM,KEWR,N/A
PVL851,DH8C,CYGP,CYQB,N/A
QTR704,B77W,KJFK,OTHH,N/A
VIR9,A35K,EGLL,KJFK,N/A
VIR91,A333,EGLL,KMCO,N/A
WFL1505,A359,LEMD,MUHA,N/A
AFR22,B77W,LFPG,KLAX,N/A
EXS1400,B738,GCTS,EGBB,N/A
QTR710,A359,KIAD,OTHH,N/A
AEA89,B789,LEMD,MDSD,N/A
DLH424,A359,EDDM,KBOS,N/A
