Callsign,Aircraft Type,Departure,Destination,Departure Time (UTC)
AFR780,B772,LFPG,TFFR,N/A
RYR416,B38M,EGNT,GCTS,N/A
SWR66,A333,LSZH,KMIA,N/A
AEA55,B789,LEMD,MPTO,N/A
CFG1457,A321,GCFV,EDDL,N/A
KLM743,B77W,EHAM,SPJC,N/A
EXS218,B738,GCRR,EGNM,N/A
DJT100,A21N,LFPO,KEWR,N/A
RCH833,,,Unknown,N/A
ACA879,B788,LFBO,CYUL,N/A
DAL237,A333,EHAM,KTPA,N/A
EIN117,A21N,EIDW,KIAD,N/A
DAL67,A359,LIRF,KATL,N/A
DHK375,B763,KCVG,EBBR,N/A
SAS925,A21N,EKCH,KIAD,N/A
TOM168,B788,EGCC,MDPC,N/A
N98LE,GLEX,KMCO,EDDF,N/A
AAL37,B772,LEMD,KDFW,N/A
NSZ5701,B38M,ESSA,GCLP,N/A
EXS224,B738,GCTS,EGNM,N/A
VKG1087,A321,GCLP,EKYT,N/A
IBE243,A359,LEMD,MROC,N/A
FIN1722,A359,GCLP,EFHK,N/A
SAS927,A21N,EKCH,KBOS,N/A
TUI2148,B38M,EDDV,GCFV,N/A
PUE701,A330,LEMD,SVMI,N/A
DAL243,A339,EHAM,KBOS,N/A
EZY7633,A320,LPPT,LPMA,N/A
BAW243,B789,EGLL,MMMX,N/A
DAL73,A333,EHAM,KATL,N/A
JZA8482,CRJ9,CYYZ,CYQY,N/A
VIR73,A333,EGCC,KMCO,N/A
SAS929,A333,EKCH,KATL,N/A
ACA887,A333,LOWW,CYYZ,N/A
TUN5,,BIKF,Unknown,N/A
DLH400,A346,EDDF,KJFK,N/A
AFR480,B772,LFPG,SPJC,N/A
DAL75,A333,EHAM,KATL,N/A
DLH402,B748,EDDF,KEWR,N/A
EIN127,A21N,EIDW,CYYZ,N/A
VIR77,A333,EGCC,TBPB,N/A
KLM757,B78X,EHAM,MPTO,N/A
BAW2263,B772,EGKK,MKJP,N/A
AAL45,B788,LFPG,KJFK,N/A
KLM759,B789,EHAM,MROC,N/A
FIN1731,A321,EFHK,LPMA,N/A
SWR86,A333,LSZH,CYUL,N/A
EIN133,A21N,EIDW,KBOS,N/A
AAL49,B788,LFPG,KDFW,N/A
EJM519,GLF6,KIAD,LEMG,N/A
DAL2,A332,EGLL,KJFK,N/A
DLH408,A333,EDDF,KRDU,N/A
EIN135,A21N,EINN,KBOS,N/A
DLH410,A359,EDDM,KJFK,N/A
KLM765,A333,EHAM,TNCA,N/A
JBU2289,A21N,EHAM,KJFK,N/A
BAW255,B78X,EGLL,TBPB,N/A
QTR701,B77W,OTHH,KJFK,N/A
ASY459,,EGPK,Unknown,N/A
DAL87,A332,EDDF,KDTW,N/A
AFR816,B789,LFPG,MUHA,N/A
AFR178,A359,LFPG,MMMX,N/A
OCN2,A333,EDDF,MDPC,N/A
AAL57,B77W,EGLL,KMIA,N/A
DAL91,A339,EHAM,KMCO,N/A
VIR91,A333,EGLL,KMCO,N/A
ACA600,B38M,CYYZ,CYHZ,N/A
DAL263,B764,LFPG,KJFK,N/A
AEA193,B788,LEMD,SKBO,N/A
VJT801,GLEX,LEMD,KIAD,N/A
QTR707,B77W,OTHH,KIAD,N/A
IBE265,A332,LEMD,MDSD,N/A
CLX5801,B748,KJFK,ELLX,N/A
TAP1690,A320,LPMA,LPPT,N/A
AFR22,B77W,LFPG,KLAX,N/A
AAL259,B788,LPPT,KPHL,N/A
AFR498,A332,LFPG,TNCM,N/A
NOS787,B789,LIMC,KJFK,N/A
DAL265,B764,LFPG,KJFK,N/A
NOS160,B789,LKPR,MDPC,N/A
AFR24,B77W,LFPG,KLAX,N/A
DLH422,A332,EDDF,KBOS,N/A
PNO704,PC12,CYFB,CYTE,N/A
SAS953,A333,EKCH,KMIA,N/A
QTR713,A35K,OTHH,KIAH,N/A
TFL365,B788,EHAM,TNCC,N/A
AFR30,A359,LFPG,KATL,N/A
BJN99,,EIDW,KJFK,N/A
DAL273,B764,LPPT,KJFK,N/A
PVL2252,DH8D,CYHZ,CYYT,N/A
DLH428,A359,EDDM,KCLT,N/A
BAW273,A35K,EGLL,KSAN,N/A
AZG8112,B748,ELLX,KJFK,N/A
DLH430,A346,EDDF,KORD,N/A
PVL2255,DH8D,CYYT,CYHZ,N/A
CFG3924,A339,EDDL,MKJS,N/A
KLM787,A332,EHAM,TNCM,N/A
RZO124,A21N,LPPD,LPPT,N/A
RZO125,A21N,LPPT,LPPD,N/A
TOM38,B789,EGKK,MMUN,N/A
QTR725,B77W,OTHH,KORD,N/A
BAW281,B77W,EGLL,KLAX,N/A
AEA9049,B738,GCXO,LEMD,N/A
UAE201,A388,OMDB,KJFK,N/A
UAL3045,B764,LEMD,KEWR,N/A
DLH438,A343,EDDF,KDFW,N/A
AFR842,B77W,LFPO,TFFF,N/A
UAL3046,B764,LIRF,KEWR,N/A
TOM44,B789,EGKK,MKJS,N/A
DLH440,A333,EDDF,KIAH,N/A
QTR729,A35K,OTHH,KDFW,N/A
