Callsign,Aircraft Type,Departure,Destination,Departure Time (UTC)
THY29,A359,LTFM,KEWR,N/A
LAN715,B789,LEMD,SBGR,N/A
UAE222,B77W,KDFW,OMDB,N/A
GTI8238,B744,EDDF,KORD,N/A
AFR63,A359,KEWR,LFPG,N/A
AMX4,B789,LFPG,MMMX,N/A
JBU803,A320,KJFK,TJSJ,N/A
EIN116,A21N,KIAD,EIDW,N/A
DAL156,A339,KJFK,DGAA,N/A
CLX6107,B744,ELLX,KATL,N/A
LOT15,B788,EPWA,KEWR,N/A
ETD10,A35K,KORD,OMAA,N/A
UAL956,B763,KEWR,LSGG,N/A
PGA1825,E190,LPPT,LPLA,N/A
TSC636,A321,CYHZ,MDPC,N/A
MSR996,B787,CYYZ,HECA,N/A
SAS928,A21N,KBOS,EKCH,N/A
RZO323,A21N,LPPD,CYYZ,N/A
AAL716,B772,KCLT,EDDM,N/A
UAL19,B772,KEWR,LIMC,N/A
AVA121,B788,EGLL,SKBO,N/A
DLH401,A346,KJFK,EDDF,N/A
EZY7636,A321,LPMA,LPPT,N/A
AAL44,B788,KJFK,LFPG,N/A
QUE30,DH8B,CYBC,CYQB,N/A
RRR2223,A332,KSBD,EGVN,N/A
QQE260,GLF6,EGGW,KFAR,N/A
BAW247,A35K,EGLL,SBGR,N/A
CMB517,B744,KBIF,EPPW,N/A
FFT4462,A21N,KPHL,TJSJ,N/A
DLH404,A343,EDDF,KJFK,N/A
THY4,A333,KJFK,LTFM,N/A
CSTUB,A339,LPPT,KMIA,N/A
BAW249,A35K,EGLL,SBGL,N/A
ETD22,A35K,CYYZ,OMAA,N/A
AFR1,B77W,KJFK,LFPG,N/A
LOT3,B788,EPWA,KORD,N/A
EIN132,A21N,KBOS,EIDW,N/A
DAL82,B739,KATL,LFPG,N/A
UAE242,A388,CYYZ,OMDB,N/A
BOX442,B772,EDDF,CYYZ,N/A
AFR3,B77W,KJFK,LFPG,N/A
SWR17,A333,KJFK,LSZH,N/A
UAL30,B764,KEWR,EDDM,N/A
SWR18,A333,LSZH,KEWR,N/A
LSJ445,BE20,CYBX,CYWK,N/A
TOM115,B788,MKJS,EGCC,N/A
DLH483,B789,KMSP,EDDF,N/A
ICE455,A21N,EGLL,BIKF,N/A
AIZ992,A339,KJFK,LLBG,N/A
UPS233,B763,KSDF,EIDW,N/A
RZO175,A20N,LPPR,LPPD,N/A
POE2325,DH8D,CYUL,CYHZ,N/A
