Callsign,Aircraft Type,Departure,Destination,Departure Time (UTC)
PVL2282,DH8D,CYHZ,CYDF,N/A
THY29,A359,LTFM,KEWR,N/A
JBU2662,A321,TBPB,KJFK,N/A
UAE222,B77W,KDFW,OMDB,N/A
MSR986,B77W,KJFK,HECA,N/A
GTI8238,B744,EDDF,KORD,N/A
SAT2447,DH8D,LPHR,LPPD,N/A
PVL2284,DH8D,CYOW,CYHZ,N/A
DHK3,B77L,KCVG,EGNX,N/A
RAM208,B789,GMMN,CYUL,N/A
FIN15,A333,EFHK,KJFK,N/A
DAL156,A339,KJFK,DGAA,N/A
CLX6107,B744,ELLX,KATL,N/A
ACA646,A321,CYYZ,CYQM,N/A
PVL2287,DH8D,CYHZ,CYOW,N/A
LOT15,B788,EPWA,KEWR,N/A
ETD10,A35K,KORD,OMAA,N/A
PGA1825,E190,LPPT,LPLA,N/A
TSC636,A321,CYHZ,MDPC,N/A
IBE325,A359,LEMD,KJFK,N/A
MSR996,B787,CYYZ,HECA,N/A
VJT537,CL60,EINN,KTEB,N/A
RZO323,A21N,LPPD,CYYZ,N/A
QUE30,DH8B,CYYY,CYBC,N/A
AIC189,B77W,VIDP,CYYZ,N/A
POE2234,DH8D,CYHZ,CYOW,N/A
ICE213,B752,EKCH,BIKF,N/A
RRR2223,A332,KSBD,EGVN,N/A
JIA5024,CRJ7,KDCA,KBGR,N/A
TWY202,GLEX,EDDM,KIAD,N/A
DLH404,A343,EDDF,KJFK,N/A
THY4,A333,KJFK,LTFM,N/A
IBB5159,E295,LEPA,GCXO,N/A
DAL1780,A21N,TJSJ,KBOS,N/A
CSTUB,A339,LPPT,KMIA,N/A
LOT3,B788,EPWA,KORD,N/A
AFR1,B77W,KJFK,LFPG,N/A
BOX442,B772,EDDF,CYYZ,N/A
BAW171,B788,EGLL,KPIT,N/A
UAE242,A388,CYYZ,OMDB,N/A
JBU182,A320,TLPL,KJFK,N/A
SWR17,A333,KJFK,LSZH,N/A
DAL4,B764,EGLL,KJFK,N/A
IBE337,A332,LEMD,KMIA,N/A
SWR18,A333,LSZH,KEWR,N/A
LSJ445,BE20,CYBX,CYWK,N/A
ICE455,A21N,EGLL,BIKF,N/A
EIN137,A21N,EIDW,KBOS,N/A
MNB1548,A332,KJFK,LEZG,N/A
DLH412,A359,EDDM,KEWR,N/A
AIZ992,A339,KJFK,LLBG,N/A
RZO175,A20N,LPPR,LPPD,N/A
BAW95,B788,EGLL,CYUL,N/A
AFR8,B77W,LFPG,KJFK,N/A
IFA5013,CL60,KIAD,BIKF,N/A
KLM617,B772,EHAM,KBOS,N/A
THY184,B789,MMUN,LTFM,N/A
BOX450,B772,EDDF,KJFK,N/A
VIR9,A35K,EGLL,KJFK,N/A
TAP203,A21N,LPPT,KEWR,N/A
QTR705,A359,OTHH,KJFK,N/A
BAW179,B772,EGLL,KJFK,N/A
ROU1767,A319,CYHZ,MDPC,N/A
THY186,B789,KORD,LTFM,N/A
BAW99,B788,EGLL,CYYZ,N/A
AIE858,DH8A,CYHA,CYVP,N/A
RAM210B,B788,GMMN,CYYZ,N/A
BAW183,B772,EGLL,KJFK,N/A
THY188,B789,KIAD,LTFM,N/A
AAL107,B772,EGLL,KJFK,N/A
FBU720,A359,LFPO,KEWR,N/A
BAW113,B78X,EGLL,KJFK,N/A
SAT2409,DH8D,LPLA,LPPD,N/A
LOT45,B789,EPWA,CYYZ,N/A
TAP209,A21N,LPPT,KJFK,N/A
VIR25,A339,EGLL,KJFK,N/A
DLH423,A346,KBOS,EDDF,N/A
TAP1695,A320,LPPT,LPMA,N/A
ETH3518,B77L,KMIA,EBLG,N/A
DLH424,A359,EDDM,KBOS,N/A
ELY10,B788,KJFK,LLBG,N/A
UAL1880,B737,TNCM,KEWR,N/A
AFR28,A359,LFPG,KLAX,N/A
AAL68,B772,KMIA,LEMD,N/A
MMZ26,B772,EPWA,KJFK,N/A
ELY11,B789,LLBG,KJFK,N/A
ACA843,B788,EDDF,CYYZ,N/A
RZO9224,A20N,LPPT,KBOS,N/A
BAW189,B772,EGLL,KEWR,N/A
TAP215,A21N,LPPT,KBOS,N/A
FPY905,A20N,EKCH,BIKF,N/A
TOM283,B38M,GVAC,EGKK,N/A
NOS796,B789,LIPX,MMUN,N/A
UAL921,B763,EGLL,KEWR,N/A
