Callsign,Aircraft Type,Departure,Destination,Departure Time (UTC)
KLM741,B78X,SKCG,EHAM,N/A
SWR67,A333,KMIA,LSZH,N/A
DJT101,A21N,KEWR,LFPO,N/A
ACA878,B788,CYUL,LFBO,N/A
DAL236,A333,KTPA,EHAM,N/A
UAL164,B772,KEWR,OMDB,N/A
DAL66,A359,KATL,LIRF,N/A
AAL36,B772,KDFW,LEMD,N/A
SAS926,A21N,KIAD,EKCH,N/A
AFR159,B789,KDFW,LFPG,N/A
VGI198,A333,TBPB,EGLL,N/A
POE299,E295,CYOW,CYYT,N/A
DAL242,A339,KBOS,EHAM,N/A
AAL38,B77W,KMIA,EGLL,N/A
DAL72,A333,KATL,EHAM,N/A
IBE244,A359,MROC,LEMD,N/A
BEL502,A333,KJFK,EBBR,N/A
CFG2207,A339,MUHG,EDDF,N/A
ACA886,A333,CYYZ,LOWW,N/A
SAS930,A333,KATL,EKCH,N/A
VIR74,A333,KMCO,EGCC,N/A
DAL74,A333,KATL,EHAM,N/A
RAM219,B789,KIAD,GMMN,N/A
EIN126,A21N,CYYZ,EIDW,N/A
CFG2199,A339,MUVR,EDDF,N/A
AFR479,A332,TNCM,LFPG,N/A
BAW246,A35K,SBGR,EGLL,N/A
DLH403,B748,KEWR,EDDF,N/A
N141QS,GLEX,KSJC,LIML,N/A
VIR78,A333,TBPB,EGCC,N/A
KLM758,B78X,MPTO,EHAM,N/A
BAW248,A35K,SBGL,EGLL,N/A
DLH405,A343,KJFK,EDDF,N/A
DAL80,A339,KSEA,LFPG,N/A
DAL1,A332,KJFK,EGLL,N/A
AAL48,B788,KDFW,LFPG,N/A
AAL50,B77W,KDFW,EGLL,N/A
BAW252,B772,MYNN,EGLL,N/A
EIN134,A21N,KBOS,EINN,N/A
OCN13,A333,MMTL,EDDF,N/A
VIR4,A35K,KJFK,EGLL,N/A
UAL182,B789,KDEN,EDDF,N/A
JBU2288,A21N,KJFK,EHAM,N/A
ABD7267,B744,KGSP,EDFH,N/A
DLH411,A359,KJFK,EDDM,N/A
EIN136,A21N,KBOS,EIDW,N/A
ICE688,B38M,KMCO,BIKF,N/A
IBE258,A332,MPTO,LEMD,N/A
DAL86,A332,KDTW,EDDF,N/A
VIR6,A339,KMIA,EGLL,N/A
VTASR,GL7T,KBOS,Unknown,N/A
DLH413,A359,KEWR,EDDM,N/A
QTR702,B77W,KJFK,OTHH,N/A
EIN140,A333,KMIA,EIDW,N/A
AFR817,B789,MUHA,LFPG,N/A
DAL90,A339,KMCO,EHAM,N/A
UAL188,B789,KEWR,FAOR,N/A
DAL262,B764,KJFK,LFPG,N/A
VIR92,A333,KMCO,EGLL,N/A
AAL258,B788,KPHL,LPPT,N/A
DLH419,B744,KIAD,EDDF,N/A
IBE266,A332,MDSD,LEMD,N/A
QTR708,B77W,KIAD,OTHH,N/A
AAL62,B788,KMIA,LFPG,N/A
OCN2005,A333,MKJS,EDDF,N/A
NOS790,B789,SKCG,LIMC,N/A
TOM835,B788,TBPB,EGNX,N/A
KLM777,A333,TTPP,EHAM,N/A
SAS954,A333,KMIA,EKCH,N/A
EIN86,A21N,KCLE,EIDW,N/A
TAP1696,A320,LPMA,LPPT,N/A
DLH425,A359,KBOS,EDDM,N/A
QTR714,A35K,KIAH,OTHH,N/A
GES201B,GLF6,MUHA,LEPA,N/A
DAL272,B764,KJFK,LPPT,N/A
N726AN,B77W,EDFH,KGTB,N/A
IBE274,A332,MUHA,LEMD,N/A
FDX4,B77L,KMEM,EBLG,N/A
DLH429,A359,KCLT,EDDM,N/A
TFL370,B788,TNCC,EHAM,N/A
AEA98,B789,KMIA,LEMD,N/A
DLH431,A346,KORD,EDDF,N/A
ASL501,A332,KJFK,LYBE,N/A
BOX391,B77L,KCVG,EDDP,N/A
QTR726,B77W,KORD,OTHH,N/A
BAW282,B77W,KLAX,EGLL,N/A
THY82,A333,KBOS,LTFM,N/A
CLX5497,B744,KJFK,ELLX,N/A
FDX918D,B77L,KOAK,EBLG,N/A
QTR730,A35K,KDFW,OTHH,N/A
DLH441,A333,KIAH,EDDF,N/A
DHK3996,B763,EDDP,Unknown,N/A
EUK44,A333,KJFK,EGCC,N/A
DLH445,A343,KATL,EDDF,N/A
IBE303,A359,LEMD,MMMX,N/A
AAL90,B789,KORD,EGLL,N/A
BAW292,A35K,KIAD,EGLL,N/A
DLH447,A346,KDEN,EDDF,N/A
UAE212,A388,KIAH,OMDB,N/A
CRL925,A339,TFFF,LFPO,N/A
DLH449,A333,KSTL,EDDF,N/A
QTR738,A35K,KSFO,OTHH,N/A
AAL92,B788,KPHL,LSZH,N/A
BAW294,B789,KORD,EGLL,N/A
TOM55,B788,MDPC,EGKK,N/A
QTR740,A35K,KLAX,OTHH,N/A
AAL94,B788,KJFK,LEMD,N/A
CRL927,A339,TFFR,LFPO,N/A
AAL292,B789,KJFK,VIDP,N/A
QTR744,A359,KBOS,OTHH,N/A
BAW66,A35K,KPHL,EGLL,N/A
DLH455,B748,KSFO,EDDF,N/A
UAE220,B77W,KMCO,OMDB,N/A
DLH457,B748,KLAX,EDDF,N/A
TOM243,B788,MMUN,EGBB,N/A
