Callsign,Aircraft Type,Departure,Destination,Departure Time (UTC)
KLM741,B78X,SKCG,EHAM,N/A
THY32,B789,KATL,LTFM,N/A
DAL236,A333,KTPA,EHAM,N/A
DJT101,A21N,KEWR,LFPO,N/A
ACA878,B788,CYUL,LFBO,N/A
UAL164,B772,KEWR,OMDB,N/A
DAL66,A359,KATL,LIRF,N/A
THY36,B789,CYUL,LTFM,N/A
ICE670,B38M,KDEN,BIKF,N/A
AAL36,B772,KDFW,LEMD,N/A
POE299,E295,CYOW,CYYT,N/A
VGI198,A333,TBPB,EGLL,N/A
AFR159,B789,KDFW,LFPG,N/A
AAL38,B77W,KMIA,EGLL,N/A
AEA811,B738,LEMD,Unknown,N/A
DAL242,A339,KBOS,EHAM,N/A
AFR475,B789,MPTO,LFPG,N/A
AEA64,B789,MMUN,LEMD,N/A
IBE244,A359,MROC,LEMD,N/A
PUE702,A332,SVMI,LEMD,N/A
CFG2207,A339,MUHG,EDDF,N/A
EIN124,A333,KORD,EIDW,N/A
ACA886,A333,CYYZ,LOWW,N/A
SAS930,A333,KATL,EKCH,N/A
RAM219,B789,KIAD,GMMN,N/A
VIR74,A333,KMCO,EGCC,N/A
DAL74,A333,KATL,EHAM,N/A
CFG2199,A339,MUVR,EDDF,N/A
KLM755,B772,SEGU,EHAM,N/A
ICE680,B38M,KSEA,BIKF,N/A
N141QS,GLEX,KSJC,LIML,N/A
KLM758,B78X,MPTO,EHAM,N/A
VIR78,A333,TBPB,EGCC,N/A
BAW248,A35K,SBGL,EGLL,N/A
FFT3572,A21N,TJSJ,KEWR,N/A
DLH405,A343,KJFK,EDDF,N/A
DAL1,A332,KJFK,EGLL,N/A
AAL48,B788,KDFW,LFPG,N/A
BAW252,B772,MYNN,EGLL,N/A
AAL50,B77W,KDFW,EGLL,N/A
OCN13,A333,MMTL,EDDF,N/A
EIN134,A21N,KBOS,EINN,N/A
DAL3,B764,KJFK,EGLL,N/A
ABD7267,B744,KGSP,EDFH,N/A
FFT1165,A21N,TJSJ,KPHL,N/A
UAL182,B789,KDEN,EDDF,N/A
JBU2288,A21N,KJFK,EHAM,N/A
EIN136,A21N,KBOS,EIDW,N/A
IBE258,A332,MPTO,LEMD,N/A
DAL86,A332,KDTW,EDDF,N/A
ICE688,B38M,KMCO,BIKF,N/A
VIR6,A339,KMIA,EGLL,N/A
VTASR,GL7T,KBOS,Unknown,N/A
KLM767,A333,TNCB,EHAM,N/A
DLH413,A359,KEWR,EDDM,N/A
QTR702,B77W,KJFK,OTHH,N/A
EIN140,A333,KMIA,EIDW,N/A
AFR817,B789,MUHA,LFPG,N/A
VIR8,A35K,KLAX,EGLL,N/A
AAL56,B77W,KMIA,EGLL,N/A
SLM994,A346,SMJP,EHAM,N/A
DAL90,A339,KMCO,EHAM,N/A
DAL262,B764,KJFK,LFPG,N/A
WFL1506,A359,MUHA,LEMD,N/A
AAL258,B788,KPHL,LPPT,N/A
DAL264,B764,KJFK,LFPG,N/A
QTR708,B77W,KIAD,OTHH,N/A
AAL62,B788,KMIA,LFPG,N/A
AEA88,B789,MDSD,LEMD,N/A
OCN2005,A333,MKJS,EDDF,N/A
FBU721,A359,KEWR,LFPO,N/A
TOM835,B788,TBPB,EGNX,N/A
NOS790,B789,SKCG,LIMC,N/A
SAS954,A333,KMIA,EKCH,N/A
KLM777,A333,TTPP,EHAM,N/A
EIN86,A21N,KCLE,EIDW,N/A
QTR714,A35K,KIAH,OTHH,N/A
DLH425,A359,KBOS,EDDM,N/A
IBE2630,A332,KMIA,LEBL,N/A
CLX6851,B748,KORD,ELLX,N/A
GES201B,GLF6,MUHA,LEPA,N/A
DAL272,B764,KJFK,LPPT,N/A
IBE274,A332,MUHA,LEMD,N/A
FDX4,B77L,KMEM,EBLG,N/A
DLH429,A359,KCLT,EDDM,N/A
TFL370,B788,TNCC,EHAM,N/A
AEA98,B789,KMIA,LEMD,N/A
THY78,B77W,KMIA,LTFM,N/A
DLH435,A359,KORD,EDDM,N/A
QTR726,B77W,KORD,OTHH,N/A
ASL501,A332,KJFK,LYBE,N/A
BAW282,B77W,KLAX,EGLL,N/A
THY82,A333,KBOS,LTFM,N/A
UAE202,A388,KJFK,OMDB,N/A
FDX918D,B77L,KOAK,EBLG,N/A
TAM8068,B789,SBGR,LFPG,N/A
QTR730,A35K,KDFW,OTHH,N/A
DLH441,A333,KIAH,EDDF,N/A
EUK44,A333,KJFK,EGCC,N/A
IBE303,A359,LEMD,MMMX,N/A
AAL90,B789,KORD,EGLL,N/A
DLH447,A346,KDEN,EDDF,N/A
BAW292,A35K,KIAD,EGLL,N/A
UAE212,A388,KIAH,OMDB,N/A
CRL925,A339,TFFF,LFPO,N/A
AAL94,B788,KJFK,LEMD,N/A
AAL292,B789,KJFK,VIDP,N/A
AAL293,B789,VIDP,KJFK,N/A
UAE216,A388,KLAX,OMDB,N/A
QTR744,A359,KBOS,OTHH,N/A
UAE220,B77W,KMCO,OMDB,N/A
DLH457,B748,KLAX,EDDF,N/A
TOM243,B788,MMUN,EGBB,N/A
JBU1620,A21N,KBOS,EGLL,N/A
DLH461,A359,KMIA,EDDM,N/A
LOT16,B788,KEWR,EPWA,N/A
ACA46,B789,CYYZ,VABB,N/A
UAL248,B752,KEWR,GCTS,N/A
QTR756,A35K,KATL,OTHH,N/A
CRL943,A339,TFFR,LFPO,N/A
UAL880,B772,KIAH,EGLL,N/A
IBE326,A359,KJFK,LEMD,N/A
ACA51,B789,VIDP,CYUL,N/A
DLH471,B744,CYYZ,EDDF,N/A
AAL951,B789,KJFK,SBGR,N/A
RZO3224,A20N,KBOS,LPPD,N/A
UAE236,B77W,KORD,OMDB,N/A
THY2,B77W,KJFK,LTFM,N/A
LOT27,B772,KJFK,EPWA,N/A
UAE238,B77W,KBOS,OMDB,N/A
LOT30,B789,KMIA,EPWA,N/A
IBE334,A333,KMIA,LEMD,N/A
TAP58,A339,SBBR,LPPT,N/A
THY6,B77W,KORD,LTFM,N/A
TSC252,A332,CYUL,LEMG,N/A
FPY410,A21N,KBWI,BIKF,N/A
AFR83,B77W,KSFO,LFPG,N/A
QTR768,B77W,CYYZ,OTHH,N/A
BAW92,B772,CYYZ,EGLL,N/A
BAW2036,B772,KMCO,EGKK,N/A
THY8,B77W,KIAD,LTFM,N/A
BOX445,B77L,KORD,EDDF,N/A
IBE338,A333,KMIA,LEMD,N/A
BAW94,B788,CYUL,EGLL,N/A
UAL904,B763,KEWR,EGLL,N/A
AFR7,B77W,KJFK,LFPG,N/A
IBE342,A333,KORD,LEMD,N/A
UAL907,B78X,KORD,EDDF,N/A
BAW98,B788,CYYZ,EGLL,N/A
BOX451,B77L,KJFK,EDDF,N/A
