Callsign,Aircraft Type,Departure,Destination,Departure Time (UTC)
KLM741,B78X,SKCG,EHAM,N/A
THY30,A333,KEWR,LTFM,N/A
RYR417,B38M,GCTS,EGNT,N/A
AEA56,B789,MPTO,LEMD,N/A
THY32,B789,KATL,LTFM,N/A
RAM209,B789,CYUL,GMMN,N/A
DAL236,A333,KTPA,EHAM,N/A
UAL163,B772,OMDB,KEWR,N/A
ACA878,B788,CYUL,LFBO,N/A
RYR5468,B38M,LEMD,GCFV,N/A
UAL164,B772,KEWR,OMDB,N/A
THY36,B789,CYUL,LTFM,N/A
AAL36,B772,KDFW,LEMD,N/A
AAL38,B77W,KMIA,EGLL,N/A
AEA64,B789,MMUN,LEMD,N/A
AFR475,B789,MPTO,LFPG,N/A
SWT192P,B738,GCLP,Unknown,N/A
IBE244,A359,MROC,LEMD,N/A
EIN60,A333,KSFO,EIDW,N/A
EIN124,A333,KORD,EIDW,N/A
VIR74,A333,KMCO,EGCC,N/A
DAL74,A333,KATL,EHAM,N/A
RAM219,B789,KIAD,GMMN,N/A
KLM755,B772,SEGU,EHAM,N/A
ETH500,A35K,LIRF,KIAD,N/A
ROU1522,A319,CYUL,CYYT,N/A
KLM758,B78X,MPTO,EHAM,N/A
KLM760,B789,MROC,EHAM,N/A
DLH405,A343,KJFK,EDDF,N/A
SAS936,A333,KSFO,EKCH,N/A
BAW252,B772,MYNN,EGLL,N/A
OCN12,A332,KLAS,EDDF,N/A
DAL3,B764,KJFK,EGLL,N/A
AXE6810,B738,EKBI,Unknown,N/A
JBU2288,A21N,KJFK,EHAM,N/A
IBE258,A332,MPTO,LEMD,N/A
QTR8080,B77L,KIAH,EBLG,N/A
VIR6,A339,KMIA,EGLL,N/A
DLH413,A359,KEWR,EDDM,N/A
IBS1630,A320,GCLP,LEMD,N/A
KLM767,A333,TNCB,EHAM,N/A
VTASR,GL7T,KBOS,Unknown,N/A
QTR702,B77W,KJFK,OTHH,N/A
FPY64,A20N,BIKF,Unknown,N/A
VIR8,A35K,KLAX,EGLL,N/A
QTR703,B77W,OTHH,KJFK,N/A
AAL56,B77W,KMIA,EGLL,N/A
AFR817,B789,MUHA,LFPG,N/A
BWA520,B38M,TTPP,KJFK,N/A
SLM994,A346,SMJP,EHAM,N/A
THY904,B789,MPTO,LTFM,N/A
AFR179,A359,MMMX,LFPG,N/A
DAL262,B764,KJFK,LFPG,N/A
QTR706,A359,KJFK,OTHH,N/A
DAL264,B764,KJFK,LFPG,N/A
WFL1506,A359,MUHA,LEMD,N/A
AAL258,B788,KPHL,LPPT,N/A
AMX70,B788,MMMX,LIRF,N/A
AEA88,B789,MDSD,LEMD,N/A
FBU721,A359,KEWR,LFPO,N/A
ETH518,B788,LIRF,KATL,N/A
FDX9183,B77L,KOAK,EBLG,N/A
BAW266,B789,KPDX,EGLL,N/A
NOS790,B789,SKCG,LIMC,N/A
SAS954,A333,KMIA,EKCH,N/A
EIN86,A21N,KCLE,EIDW,N/A
IBE272,A330,SBGR,LEMD,N/A
IBE2630,A332,KMIA,LEBL,N/A
CLX6851,B748,KORD,ELLX,N/A
BAW270,B77W,KLAS,EGLL,N/A
QTR714,A35K,KIAH,OTHH,N/A
GES201B,GLF6,MUHA,LEPA,N/A
BAW272,A35K,KSAN,EGLL,N/A
NOS797,B789,MMUN,LIPX,N/A
RZO121,A21N,LPPT,LPPD,N/A
TFL370,B788,TNCC,EHAM,N/A
AEA98,B789,KMIA,LEMD,N/A
AEA9045,B738,GCXO,LEMD,N/A
DLH435,A359,KORD,EDDM,N/A
THY78,B77W,KMIA,LTFM,N/A
AAL78,B772,KDFW,EGLL,N/A
BAW282,B77W,KLAX,EGLL,N/A
KLM792,B77W,SBGR,EHAM,N/A
BAW48,B78X,KSEA,EGLL,N/A
QTR726,B77W,KORD,OTHH,N/A
UAE202,A388,KJFK,OMDB,N/A
FDX918D,B77L,KOAK,EBLG,N/A
UAE203,A388,OMDB,KJFK,N/A
QTR731,B77L,OTHH,KDFW,N/A
BAW288,A35K,KPHX,EGLL,N/A
UAE210,B77W,KEWR,LGAV,N/A
AEA9059,B738,LEMD,GCXO,N/A
DLH447,A346,KDEN,EDDF,N/A
AAL90,B789,KORD,EGLL,N/A
BAW292,A35K,KIAD,EGLL,N/A
UAE212,A388,KIAH,OMDB,N/A
UAE213,B77W,OMDB,KMIA,N/A
QTR740,A35K,KLAX,OTHH,N/A
RSC4932,AT72,LPMA,LPPS,N/A
UAE214,B77W,KMIA,OMDB,N/A
IBE308,A359,MMMX,LEMD,N/A
AAL94,B788,KJFK,LEMD,N/A
AAL292,B789,KJFK,VIDP,N/A
BAW296,B78X,KORD,EGLL,N/A
AAL293,B789,VIDP,KJFK,N/A
DLH453,A359,KLAX,EDDM,N/A
ETH552,A359,LIRF,CYYZ,N/A
UAE220,B77W,KMCO,OMDB,N/A
DLH457,B748,KLAX,EDDF,N/A
LOT10,B788,KORD,EPKK,N/A
SAT101,DH8D,LPPD,LPAZ,N/A
DLH461,A359,KMIA,EDDM,N/A
ACA43,B77L,VIDP,CYYZ,N/A
LOT16,B788,KEWR,EPWA,N/A
CPA811,A35K,KBOS,VHHH,N/A
ACA46,B789,CYYZ,VABB,N/A
UAE231,A388,OMDB,KIAD,N/A
CRL943,A339,TFFR,LFPO,N/A
ACA51,B789,VIDP,CYUL,N/A
IBE326,A359,KJFK,LEMD,N/A
DLH471,B744,CYYZ,EDDF,N/A
UAE236,B77W,KORD,OMDB,N/A
RZO3224,A20N,KBOS,LPPD,N/A
UAE238,B77W,KBOS,OMDB,N/A
LOT27,B772,KJFK,EPWA,N/A
ACA56,B789,CYYZ,OMDB,N/A
QTR764,B77W,CYUL,OTHH,N/A
ACA57,B789,OMDB,CYYZ,N/A
ETH574,B788,LIRF,KORD,N/A
LOT30,B789,KMIA,EPWA,N/A
THY6,B77W,KORD,LTFM,N/A
TSC252,A332,CYUL,LEMG,N/A
QTR768,B77W,CYYZ,OTHH,N/A
UAE243,B77L,OMDB,CYUL,N/A
AFR83,B77W,KSFO,LFPG,N/A
FPY410,A21N,KBWI,BIKF,N/A
THY8,B77W,KIAD,LTFM,N/A
IBE338,A333,KMIA,LEMD,N/A
BAW94,B788,CYUL,EGLL,N/A
AFR7,B77W,KJFK,LFPG,N/A
BWA601,B38M,CYYZ,TTPP,N/A
RZO177,A320,LPPR,LPPD,N/A
BOX451,B77L,KJFK,EDDF,N/A
BAW98,B788,CYYZ,EGLL,N/A
QTR781,A35K,OTHH,KMIA,N/A
UAE256,B77L,MMMX,LEBL,N/A
BOX457,B77L,KATL,EDDF,N/A
IBE352,A332,KLAX,LEMD,N/A
AFR99,B77W,KMIA,LFPG,N/A
PIA784,B77L,CYYZ,OPKC,N/A
