Callsign,Aircraft Type,Departure,Destination,Departure Time (UTC)
KLM741,B78X,SKCG,EHAM,N/A
SWR67,A333,KMIA,LSZH,N/A
DJT101,A21N,KEWR,LFPO,N/A
EIN116,A21N,KIAD,EIDW,N/A
ACA878,B788,CYUL,LFBO,N/A
DAL66,A359,KATL,LIRF,N/A
ICE670,B38M,KDEN,BIKF,N/A
SAS926,A21N,KIAD,EKCH,N/A
AFR159,B789,KDFW,LFPG,N/A
DAL242,A339,KBOS,EHAM,N/A
JBU808,A320,TJSJ,KBOS,N/A
SAS928,A21N,KBOS,EKCH,N/A
DAL72,A333,KATL,EHAM,N/A
BEL502,A333,KJFK,EBBR,N/A
CFG2207,A339,MUHG,EDDF,N/A
ACA886,A333,CYYZ,LOWW,N/A
SAS930,A333,KATL,EKCH,N/A
AEA175,B789,LEMD,SPJC,N/A
VIR74,A333,KMCO,EGCC,N/A
EIN126,A21N,CYYZ,EIDW,N/A
CFG2209,A339,MDPC,EDDF,N/A
AFR479,A332,TNCM,LFPG,N/A
CFG2199,A339,MUVR,EDDF,N/A
BAW246,A35K,SBGR,EGLL,N/A
DLH403,B748,KEWR,EDDF,N/A
N141QS,GLEX,KSJC,LIML,N/A
KLM758,B78X,MPTO,EHAM,N/A
BAW250,B789,SCEL,EGLL,N/A
EIN132,A21N,KBOS,EIDW,N/A
DAL1,A332,KJFK,EGLL,N/A
AAL48,B788,KDFW,LFPG,N/A
POE2237,DH8D,CYOW,CYHZ,N/A
AAL50,B77W,KDFW,EGLL,N/A
DAL82,B739,KATL,LFPG,N/A
EIN134,A21N,KBOS,EINN,N/A
OCN13,A333,MMTL,EDDF,N/A
VIR4,A35K,KJFK,EGLL,N/A
UAL182,B789,KDEN,EDDF,N/A
ABD7267,B744,KGSP,EDFH,N/A
BAW254,B78X,TBPB,EGLL,N/A
DLH411,A359,KJFK,EDDM,N/A
EIN136,A21N,KBOS,EIDW,N/A
ICE688,B38M,KMCO,BIKF,N/A
IBE258,A332,MPTO,LEMD,N/A
DAL86,A332,KDTW,EDDF,N/A
VTASR,GL7T,KBOS,Unknown,N/A
DLH413,A359,KEWR,EDDM,N/A
EIN140,A333,KMIA,EIDW,N/A
AFR817,B789,MUHA,LFPG,N/A
DAL90,A339,KMCO,EHAM,N/A
UAL188,B789,KEWR,FAOR,N/A
VIR92,A333,KMCO,EGLL,N/A
IBS1634,A21N,GCLP,LEMD,N/A
AAL258,B788,KPHL,LPPT,N/A
DLH419,B744,KIAD,EDDF,N/A
IBE266,A332,MDSD,LEMD,N/A
AAL62,B788,KMIA,LFPG,N/A
QTR708,B77W,KIAD,OTHH,N/A
AFR499,A332,TNCM,LFPG,N/A
OCN2005,A333,MKJS,EDDF,N/A
UAL194,B772,KSFO,EDDM,N/A
KLM777,A333,TTPP,EHAM,N/A
SAS954,A333,KMIA,EKCH,N/A
TOW2230,A332,EGVN,Unknown,N/A
QTR714,A35K,KIAH,OTHH,N/A
DLH425,A359,KBOS,EDDM,N/A
DAL272,B764,KJFK,LPPT,N/A
GES201B,GLF6,MUHA,LEPA,N/A
N726AN,B77W,EDFH,KGTB,N/A
AFR31,A359,KATL,LFPG,N/A
IBE274,A332,MUHA,LEMD,N/A
AAL70,B772,KDFW,EDDF,N/A
FDX4,B77L,KMEM,EBLG,N/A
JBU526,A320,TJSJ,KPVD,N/A
DLH429,A359,KCLT,EDDM,N/A
DLH431,A346,KORD,EDDF,N/A
CLX73Y,B748,KMIA,ELLX,N/A
ASL501,A332,KJFK,LYBE,N/A
BOX391,B77L,KCVG,EDDP,N/A
QTR726,B77W,KORD,OTHH,N/A
AFR841,B77W,TFFF,LFPO,N/A
THY82,A333,KBOS,LTFM,N/A
CLX5497,B744,KJFK,ELLX,N/A
QTR730,A35K,KDFW,OTHH,N/A
DLH441,A333,KIAH,EDDF,N/A
DLH443,A343,KDTW,EDDF,N/A
EUK44,A333,KJFK,EGCC,N/A
DLH445,A343,KATL,EDDF,N/A
IBE303,A359,LEMD,MMMX,N/A
OCN51,A332,KPHL,EDDF,N/A
CRL925,A339,TFFF,LFPO,N/A
AAL92,B788,KPHL,LSZH,N/A
BAW294,B789,KORD,EGLL,N/A
DLH449,A333,KSTL,EDDF,N/A
TOM55,B788,MDPC,EGKK,N/A
AAL94,B788,KJFK,LEMD,N/A
AAL292,B789,KJFK,VIDP,N/A
CRL927,A339,TFFR,LFPO,N/A
POE2286,DH8D,CYHZ,CYTZ,N/A
QTR744,A359,KBOS,OTHH,N/A
BAW66,A35K,KPHL,EGLL,N/A
UAE220,B77W,KMCO,OMDB,N/A
TOM61,B789,TBPB,EGKK,N/A
POE2287,DH8D,CYHZ,CYYT,N/A
AFR545,A359,SBFZ,LFPG,N/A
TOM243,B788,MMUN,EGBB,N/A
AFR63,A359,KEWR,LFPG,N/A
JBU1620,A21N,KBOS,EGLL,N/A
DLH461,A359,KMIA,EDDM,N/A
UBT70Z,B789,KJFK,EGKK,N/A
DLH463,B748,KMIA,EDDF,N/A
ICE751,B763,EBLG,BIKF,N/A
ACA46,B789,CYYZ,VABB,N/A
AVA18,B788,SKBO,LEBL,N/A
