Callsign,Aircraft Type,Departure,Destination,Departure Time (UTC)
THY29,A359,LTFM,KEWR,N/A
SWR67,A333,KMIA,LSZH,N/A
EIN116,A21N,KIAD,EIDW,N/A
ETD10,A35K,KORD,OMAA,N/A
SAS926,A21N,KIAD,EKCH,N/A
AEA812,B738,GCLP,Unknown,N/A
BEL502,A333,KJFK,EBBR,N/A
DAL72,A333,KATL,EHAM,N/A
SAS928,A21N,KBOS,EKCH,N/A
AEA175,B789,LEMD,SPJC,N/A
ROU1833,A319,TAPA,CYYZ,N/A
AEA176,B789,SPJC,LEMD,N/A
CFG2209,A339,MDPC,EDDF,N/A
DLH401,A346,KJFK,EDDF,N/A
AAL44,B788,KJFK,LFPG,N/A
DLH403,B748,KEWR,EDDF,N/A
RRR2223,A332,KSBD,EGVN,N/A
BAW249,A35K,EGLL,SBGL,N/A
ETD22,A35K,CYYZ,OMAA,N/A
EIN132,A21N,KBOS,EIDW,N/A
ACA1363,B38M,TNCM,CYUL,N/A
DAL82,B739,KATL,LFPG,N/A
VIR9,A35K,EGLL,KJFK,N/A
QTR705,A359,OTHH,KJFK,N/A
IBS1633,A21N,LEMD,GCLP,N/A
VIR92,A333,KMCO,EGLL,N/A
IBE266,A332,MDSD,LEMD,N/A
IBE267,A332,LEMD,SBGR,N/A
AFR499,A332,TNCM,LFPG,N/A
AAL2557,B38M,KJFK,SYCJ,N/A
DLH423,A346,KBOS,EDDF,N/A
TAP1697,A21N,LPPT,LPMA,N/A
AAL68,B772,KMIA,LEMD,N/A
MMZ26,B772,EPWA,KJFK,N/A
AAL70,B772,KDFW,EDDF,N/A
AFR31,A359,KATL,LFPG,N/A
JBU1903,A320,KJFK,TJSJ,N/A
PVL2254,DH8D,CYHZ,CYYT,N/A
DLH431,A346,KORD,EDDF,N/A
GJE21,GLF5,LTBA,CYYZ,N/A
CLX73Y,B748,KMIA,ELLX,N/A
AFR6740,B772,LFPG,KORD,N/A
QTR8112,B77L,KORD,LIMC,N/A
RZO128,A21N,LPPD,LPPT,N/A
BOX391,B77L,KCVG,EDDP,N/A
EJO1X,GL5T,KMMU,EPWA,N/A
CLX5497,B744,KJFK,ELLX,N/A
DLH443,A343,KDTW,EDDF,N/A
LRT999,CL60,TQPF,KTEB,N/A
DLH445,A343,KATL,EDDF,N/A
IBE303,A359,LEMD,MMMX,N/A
OCN51,A332,KPHL,EDDF,N/A
AEA024B,B789,SGAS,Unknown,N/A
IBE304,A359,MMMX,LEMD,N/A
AAL92,B788,KPHL,LSZH,N/A
JBU862,A320,TJSJ,KBOS,N/A
DLH449,A333,KSTL,EDDF,N/A
AFR1X,B77W,KJFK,LFPG,N/A
ACA949,B38M,TFFR,CYUL,N/A
DAL298,A339,KJFK,DNMM,N/A
PVL2278,DH8D,CYHZ,CYYR,N/A
BAW66,A35K,KPHL,EGLL,N/A
PVL2283,DH8D,CYDF,CYHZ,N/A
UAE222,B77W,KDFW,OMDB,N/A
AFR63,A359,KEWR,LFPG,N/A
UBT70Z,B789,KJFK,EGKK,N/A
LOT15,B788,EPWA,KEWR,N/A
DLH463,B748,KMIA,EDDF,N/A
ACA963,B38M,TBPB,CYUL,N/A
ACA967,B788,TBPB,CYYZ,N/A
AIC188,B77W,CYYZ,VIDP,N/A
CMB517,B744,KBIF,EPPW,N/A
AFR1,B77W,KJFK,LFPG,N/A
IBE334,A333,KMIA,LEMD,N/A
UAE242,A388,CYYZ,OMDB,N/A
AFR3,B77W,KJFK,LFPG,N/A
AFR5,B77W,KJFK,LFPG,N/A
DLH483,B789,KMSP,EDDF,N/A
AIZ992,A339,KJFK,LLBG,N/A
BOX450,B772,EDDF,KJFK,N/A
DLH500,B789,EDDF,SBGL,N/A
IBE348,A21N,KBOS,LEMD,N/A
UAL915,B788,KIAD,LFPG,N/A
TAP75,A339,LPPT,SBGL,N/A
BWA611,B38M,CYYZ,TTPP,N/A
DLH506,B748,EDDF,SBGR,N/A
AVA47,B788,LEMD,SKBO,N/A
RZO9224,A20N,LPPT,KBOS,N/A
DLH510,B748,EDDF,SAEZ,N/A
CLX19J,B744,KATL,ELLX,N/A
TAP87,A339,LPPT,SBGR,N/A
AAL2969,B38M,TAPA,KJFK,N/A
ITY609,A339,KJFK,LIRF,N/A
LAN705,B789,LEMD,SCEL,N/A
UAL944,B78X,KORD,EDDF,N/A
CHG542,B744,KJFK,EBLG,N/A
UAL950,B77W,KIAD,EBBR,N/A
GTI8238,B744,EDDF,KORD,N/A
FWI517,A333,TFFF,LFPO,N/A
UAL956,B763,KEWR,LSGG,N/A
UAL14,B763,KEWR,EGLL,N/A
TSC636,A321,CYHZ,MDPC,N/A
UAL962,B764,KEWR,EDDB,N/A
TAM8181,B789,KJFK,SBGR,N/A
UAL19,B772,KEWR,LIMC,N/A
AVA121,B788,EGLL,SKBO,N/A
AAL716,B772,KCLT,EDDM,N/A
FDX48,B77L,KMEM,EBLG,N/A
AAL718,B788,KPHL,LIRF,N/A
ASP814,E545,KMIA,CYHZ,N/A
IBE101,A359,LEMD,SAEZ,N/A
AFR333,B772,KBOS,LFPG,N/A
UAL30,B764,KEWR,EDDM,N/A
KLM612,B772,KORD,EHAM,N/A
VIR104,A35K,KATL,EGLL,N/A
UPS233,B763,KSDF,EIDW,N/A
FWI541,A35K,TFFR,LFPO,N/A
BAW112,B772,KJFK,EGLL,N/A
UAL40,B764,KEWR,LIRF,N/A
KLM624,B78X,KATL,EHAM,N/A
IBE117,A359,LEMD,SCEL,N/A
KAC118,B77W,KJFK,OKKK,N/A
CFVLF,F2TH,CYYZ,LFPB,N/A
VIR118,A339,KMIA,EGLL,N/A
KLM628,A332,KMIA,EHAM,N/A
UAL989,B77W,KIAD,EDDF,N/A
IBE123,A359,LEMD,SPJC,N/A
ETD2,A388,KJFK,OMAA,N/A
LCO3601,B763,KMIA,EBBR,N/A
UAL52,B763,KIAD,LSZH,N/A
AAL748,B772,KCLT,LEMD,N/A
TAP1865,A21N,LPPT,LPPD,N/A
SVA36,B773,KIAD,OEJN,N/A
JBU2161,A320,KBOS,TJSJ,N/A
ABB26,B772,EPWA,KJFK,N/A
ETD8,B789,KBOS,OMAA,N/A
RZO281,A21N,LPPD,KBOS,N/A
DAL132,A333,KDTW,EHAM,N/A
KLM642,B78X,KJFK,EHAM,N/A
KQA3,B788,KJFK,HKJK,N/A
AUA90,B763,KEWR,LOWW,N/A
AUA94,B789,KIAD,LOWW,N/A
FDX92,B77L,KIND,EBLG,N/A
FPY846,A20N,KSWF,BIKF,N/A
UAL70,B772,KEWR,EHAM,N/A
AAL141,B772,EGLL,KJFK,N/A
TAP2625,A21N,LPPR,KEWR,N/A
AMX4,B789,LFPG,MMMX,N/A
KLM662,A333,KIAH,EHAM,N/A
IBE155,A359,LEMD,SKBO,N/A
