Callsign,Aircraft Type,Departure,Destination,Departure Time (UTC)
THY29,A359,LTFM,KEWR,N/A
RAM207,B788,CYUL,GMMN,N/A
RAM208,B789,GMMN,CYUL,N/A
VJT762,GL7T,EGLF,KLAX,N/A
THY35,B789,LTFM,CYUL,N/A
ETD10,A35K,KORD,OMAA,N/A
TOM76T,B788,GCTS,Unknown,N/A
EIN125,A333,EIDW,KORD,N/A
UZB102,B788,KJFK,UTTT,N/A
EZY7635,A321,LPPT,LPMA,N/A
AIC116,B77W,KJFK,VABB,N/A
AIE843,DH8A,CYPH,CYVP,N/A
VJT775,GLEX,EGGW,KSAN,N/A
AEA71,B788,LEMD,SVMI,N/A
RRR2223,A332,KSBD,EGVN,N/A
DLH404,A343,EDDF,KJFK,N/A
AIE532,BE20,CYZV,CYKL,N/A
DAL4,B764,EGLL,KJFK,N/A
FBU710,A359,LFPO,KSFO,N/A
EIN765,A320,GCTS,EIDW,N/A
DAL85,A359,LFPG,KATL,N/A
DLH412,A359,EDDM,KEWR,N/A
EIN137,A21N,EIDW,KBOS,N/A
VIR9,A35K,EGLL,KJFK,N/A
AIE857,DH8A,CYAS,CYHA,N/A
QTR705,A359,OTHH,KJFK,N/A
CGIED,,CYYR,Unknown,N/A
QTR710,A359,KIAD,OTHH,N/A
EXS1392,B738,GCRR,EGBB,N/A
DLH424,A359,EDDM,KBOS,N/A
EZY2736,A320,GCRR,EGGD,N/A
AFR28,A359,LFPG,KLAX,N/A
IBE2629,A332,LEBL,KMIA,N/A
MMZ26,B772,EPWA,KJFK,N/A
AIC144,B77W,KEWR,VABB,N/A
NOS796,B789,LIPX,MMUN,N/A
AEA97,B789,LEMD,KMIA,N/A
GJE21,GLF5,LTBA,CYYZ,N/A
THY77,B77W,LTFM,KMIA,N/A
QTR8112,B77L,KORD,LIMC,N/A
ASL500,A332,LYBE,KJFK,N/A
RZO127,,LPPT,Unknown,N/A
THY81,A333,LTFM,KBOS,N/A
UAE204,A388,KJFK,OMDB,N/A
UAE205,A388,LIMC,KJFK,N/A
RAM204F,B788,GMMN,KMIA,N/A
LSJ641,B190,CYIF,CYBX,N/A
UAE209,B77W,LGAV,KEWR,N/A
AZG4881,B748,UBBB,KORD,N/A
FBU72J,A359,LFPO,KEWR,N/A
BAW293,A35K,EGLL,KIAD,N/A
TOM3DK,B38M,GCRR,Unknown,N/A
EXS920,A321,GCTS,EGCC,N/A
BAW297,B78X,EGLL,KORD,N/A
SAT408,DH8D,LPPD,LPLA,N/A
IBE311,A359,LEMD,MMMX,N/A
EXS608,B738,GCTS,EGNX,N/A
ETH553,A359,CYYZ,HAAB,N/A
POE2286,DH8D,CYYT,CYHZ,N/A
UAE222,B77W,KDFW,OMDB,N/A
DHK3,B77L,KCVG,EGNX,N/A
LOT15,B788,EPWA,KEWR,N/A
PVL2287,DH8D,CYHZ,CYOW,N/A
UAE232,A388,KIAD,OMDB,N/A
IBE325,A359,LEMD,KJFK,N/A
VJT537,CL60,EINN,KTEB,N/A
THY1,B77W,LTFM,KJFK,N/A
QTR763,B77W,OTHH,CYUL,N/A
BAW85,A35K,EGLL,CYVR,N/A
TWY202,GLEX,EDDM,KIAD,N/A
CSTUB,A339,LPPT,KMIA,N/A
THY4,A333,KJFK,LTFM,N/A
ETH575,B788,KORD,HAAB,N/A
THY5,B77W,LTFM,KORD,N/A
RYR2425,B38M,EGSS,GCTS,N/A
BOX442,B772,EDDF,CYYZ,N/A
THY7,B77W,LTFM,KIAD,N/A
IBE337,A332,LEMD,KMIA,N/A
SAT2634,DH8D,LPLA,LPHR,N/A
BAW95,B788,EGLL,CYUL,N/A
AIZ992,A339,KJFK,LLBG,N/A
AFR8,B77W,LFPG,KJFK,N/A
BOX450,B772,EDDF,KJFK,N/A
BAW99,B788,EGLL,CYYZ,N/A
RAM210B,B788,GMMN,CYYZ,N/A
RZO184,A320,LPLA,LPPR,N/A
LOT45,B789,EPWA,CYYZ,N/A
RZO9224,A20N,LPPT,KBOS,N/A
UAL921,B763,EGLL,KEWR,N/A
UAL925,B772,EGLL,KIAD,N/A
UAL933,B772,EDDF,KIAD,N/A
ITY610,A330,LIRF,KJFK,N/A
UAL941,B763,EGLL,KEWR,N/A
RZO4012,A320,LPPD,LPPT,N/A
CHG542,B744,KJFK,EBLG,N/A
RYR6038,B738,LPLA,LPPR,N/A
WFL3409,A333,LEMD,MDSD,N/A
RYR7726,B38M,GCRR,EICK,N/A
FIN15,A333,EFHK,KJFK,N/A
AZG5721,B748,BIKF,MMSM,N/A
LOT3,B788,EPWA,KORD,N/A
KLM617,B772,EHAM,KBOS,N/A
RYR2202,B738,GCRR,EGCC,N/A
RYR7124,B738,EIDW,GCRR,N/A
UPS237,B763,KPHL,EGNX,N/A
AAL105,B77W,EGLL,KJFK,N/A
SAT2406,DH8D,LPPD,LPLA,N/A
SVA20,B773,KJFK,OEJN,N/A
KLM621,B78X,EHAM,KATL,N/A
AAL107,B772,EGLL,KJFK,N/A
BAW113,B78X,EGLL,KJFK,N/A
ETH3518,B77L,KMIA,EBLG,N/A
ETD2,A388,KJFK,OMAA,N/A
AFR356,B77W,LFPG,CYYZ,N/A
TAP1864,A20N,LPPD,LPPT,N/A
VIR129,A339,EGLL,KTPA,N/A
RZO281,A21N,LPPD,KBOS,N/A
KQA3,B788,KJFK,HKJK,N/A
VIR137,A35K,EGLL,KJFK,N/A
CKS9795,B77L,OMDB,KBGR,N/A
AAL135,B77W,EGLL,KLAX,N/A
RYR4331,B38M,GCTS,EGCC,N/A
EXS126,B738,GCTS,EGPF,N/A
RAM218W,B789,GMMN,KIAD,N/A
TOM8BH,B38M,GCTS,Unknown,N/A
AAL141,B772,EGLL,KJFK,N/A
TAP2625,A21N,LPPR,KEWR,N/A
VLG3209,A321,GCXO,LEBL,N/A
ICE581,B38M,GCTS,BIKF,N/A
MSR986,B77W,KJFK,HECA,N/A
IBS1525,A320,LEMD,GCFV,N/A
VIR155,B789,EGLL,KLAS,N/A
