Callsign,Aircraft Type,Departure,Destination,Departure Time (UTC)
THY29,A359,LTFM,KEWR,N/A
SWR67,A333,KMIA,LSZH,N/A
DJT101,A21N,KEWR,LFPO,N/A
EIN116,A21N,KIAD,EIDW,N/A
ETD10,A35K,KORD,OMAA,N/A
SAS926,A21N,KIAD,EKCH,N/A
AFR159,B789,KDFW,LFPG,N/A
DAL242,A339,KBOS,EHAM,N/A
SAS928,A21N,KBOS,EKCH,N/A
BEL502,A333,KJFK,EBBR,N/A
DAL72,A333,KATL,EHAM,N/A
CFG2207,A339,MUHG,EDDF,N/A
AEA175,B789,LEMD,SPJC,N/A
DLH401,A346,KJFK,EDDF,N/A
EIN126,A21N,CYYZ,EIDW,N/A
IBE2605,A332,LEBL,SCEL,N/A
CFG2199,A339,MUVR,EDDF,N/A
AFR479,A332,TNCM,LFPG,N/A
AEA176,B789,SPJC,LEMD,N/A
CFG2209,A339,MDPC,EDDF,N/A
AAL44,B788,KJFK,LFPG,N/A
RRR2223,A332,KSBD,EGVN,N/A
DLH403,B748,KEWR,EDDF,N/A
ETD22,A35K,CYYZ,OMAA,N/A
BAW249,A35K,EGLL,SBGL,N/A
BAW250,B789,SCEL,EGLL,N/A
EIN132,A21N,KBOS,EIDW,N/A
DAL1,A332,KJFK,EGLL,N/A
AAL48,B788,KDFW,LFPG,N/A
ACA1363,B38M,TNCM,CYUL,N/A
AAL50,B77W,KDFW,EGLL,N/A
DAL82,B739,KATL,LFPG,N/A
EIN134,A21N,KBOS,EINN,N/A
VIR4,A35K,KJFK,EGLL,N/A
BAW254,B78X,TBPB,EGLL,N/A
DLH411,A359,KJFK,EDDM,N/A
ICE688,B38M,KMCO,BIKF,N/A
DAL86,A332,KDTW,EDDF,N/A
QTR705,A359,OTHH,KJFK,N/A
VIR92,A333,KMCO,EGLL,N/A
IBE266,A332,MDSD,LEMD,N/A
DLH419,B744,KIAD,EDDF,N/A
AAL62,B788,KMIA,LFPG,N/A
AFR499,A332,TNCM,LFPG,N/A
IBE267,A332,LEMD,SBGR,N/A
DLH423,A346,KBOS,EDDF,N/A
AAL68,B772,KMIA,LEMD,N/A
IBE274,A332,MUHA,LEMD,N/A
AFR31,A359,KATL,LFPG,N/A
AAL70,B772,KDFW,EDDF,N/A
DLH431,A346,KORD,EDDF,N/A
CLX73Y,B748,KMIA,ELLX,N/A
AFR6740,B772,LFPG,KORD,N/A
QTR8112,B77L,KORD,LIMC,N/A
TOM219,B38M,GBYD,EGCC,N/A
BOX391,B77L,KCVG,EDDP,N/A
AFR841,B77W,TFFF,LFPO,N/A
RZO128,A21N,LPPD,LPPT,N/A
EJO1X,GL5T,KMMU,EPWA,N/A
THY82,A333,KBOS,LTFM,N/A
CLX5497,B744,KJFK,ELLX,N/A
UAL1904,B39M,KEWR,TTPP,N/A
DLH441,A333,KIAH,EDDF,N/A
DLH443,A343,KDTW,EDDF,N/A
EUK44,A333,KJFK,EGCC,N/A
DLH445,A343,KATL,EDDF,N/A
IBE303,A359,LEMD,MMMX,N/A
OCN51,A332,KPHL,EDDF,N/A
SWG455,B738,MDPC,CYHZ,N/A
AEA024B,B789,SGAS,Unknown,N/A
IBE304,A359,MMMX,LEMD,N/A
DLH449,A333,KSTL,EDDF,N/A
BAW294,B789,KORD,EGLL,N/A
AAL92,B788,KPHL,LSZH,N/A
TOM55,B788,MDPC,EGKK,N/A
AFR1X,B77W,KJFK,LFPG,N/A
DAL298,A339,KJFK,DNMM,N/A
BAW66,A35K,KPHL,EGLL,N/A
TOM61,B789,TBPB,EGKK,N/A
AFR63,A359,KEWR,LFPG,N/A
JBU1620,A21N,KBOS,EGLL,N/A
UBT70Z,B789,KJFK,EGKK,N/A
DLH463,B748,KMIA,EDDF,N/A
ACA963,B38M,TBPB,CYUL,N/A
ACA649,A321,CYQM,CYYZ,N/A
UAL880,B772,KIAH,EGLL,N/A
AIC188,B77W,CYYZ,VIDP,N/A
CMB517,B744,KBIF,EPPW,N/A
AVA26,B788,SKBO,LEMD,N/A
IBE334,A333,KMIA,LEMD,N/A
AFR1,B77W,KJFK,LFPG,N/A
UAE242,A388,CYYZ,OMDB,N/A
AFR3,B77W,KJFK,LFPG,N/A
BAW2036,B772,KMCO,EGKK,N/A
AFR5,B77W,KJFK,LFPG,N/A
DLH483,B789,KMSP,EDDF,N/A
AIZ992,A339,KJFK,LLBG,N/A
IBE342,A333,KORD,LEMD,N/A
JBU1965,A21N,KJFK,SYCJ,N/A
IBE348,A21N,KBOS,LEMD,N/A
TFL757,B788,TNCC,EHAM,N/A
UAL915,B788,KIAD,LFPG,N/A
AVA47,B788,LEMD,SKBO,N/A
UAL918,B772,KIAD,EGLL,N/A
CLX19J,B744,KATL,ELLX,N/A
AAL3065,A21N,KPHL,TJSJ,N/A
ITY609,A339,KJFK,LIRF,N/A
UAL944,B78X,KORD,EDDF,N/A
UAL946,B763,KIAD,EHAM,N/A
UAL950,B77W,KIAD,EBBR,N/A
AAL704,B772,KCLT,EDDF,N/A
GTI8238,B744,EDDF,KORD,N/A
AFR631,A359,KDEN,LFPG,N/A
FWI517,A333,TFFF,LFPO,N/A
UAL956,B763,KEWR,LSGG,N/A
UAL14,B763,KEWR,EGLL,N/A
AFR953,B772,SOCA,LFPG,N/A
UAL962,B764,KEWR,EDDB,N/A
UAL19,B772,KEWR,LIMC,N/A
UAL20,B763,KIAH,EHAM,N/A
AVA121,B788,EGLL,SKBO,N/A
AAL716,B772,KCLT,EDDM,N/A
FDX48,B77L,KMEM,EBLG,N/A
AAL718,B788,KPHL,LIRF,N/A
UAL23,B772,KEWR,EIDW,N/A
AFR333,B772,KBOS,LFPG,N/A
IBE101,A359,LEMD,SAEZ,N/A
UAL30,B764,KEWR,EDDM,N/A
KLM612,B772,KORD,EHAM,N/A
THY6361,B77L,EBLG,Unknown,N/A
LSJ445,BE20,CYWK,CYZV,N/A
VIR104,A35K,KATL,EGLL,N/A
FWI541,A35K,TFFR,LFPO,N/A
AAL730,B77W,KCLT,EGLL,N/A
UPS233,B763,KSDF,EIDW,N/A
AUA66,B789,KORD,LOWW,N/A
UAE9916,B77L,TJBQ,EHAM,N/A
BAW112,B772,KJFK,EGLL,N/A
UAL40,B764,KEWR,LIRF,N/A
AAL108,B772,KBOS,EGLL,N/A
KLM624,B78X,KATL,EHAM,N/A
CFVLF,F2TH,CYYZ,LFPB,N/A
KAC118,B77W,KJFK,OKKK,N/A
AAL112,B772,KMIA,LEBL,N/A
AAL742,B788,KPHL,LEBL,N/A
VIR118,A339,KMIA,EGLL,N/A
UAL989,B77W,KIAD,EDDF,N/A
KLM628,A332,KMIA,EHAM,N/A
IBE123,A359,LEMD,SPJC,N/A
LCO3601,B763,KMIA,EBBR,N/A
