Callsign,Aircraft Type,Departure,Destination,Departure Time (UTC)
AFR780,B772,LFPG,TFFR,N/A
SWR66,A333,LSZH,KMIA,N/A
TOM800,B38M,EGNT,GVAC,N/A
JTD511,B738,EKBI,Unknown,N/A
TAP4YG,,LPPT,Unknown,N/A
DJT100,A21N,LFPO,KEWR,N/A
KLM744,B77W,SPJC,EHAM,N/A
EIN52,A332,KSEA,EIDW,N/A
RCH833,,ETAR,Unknown,N/A
THY34,B789,KIAH,LTFM,N/A
KLM745,B78X,EHAM,SKBO,N/A
RAM211,B788,CYYZ,GMMN,N/A
UAL163,B772,OMDB,KEWR,N/A
TOM168,B788,EGCC,MDPC,N/A
EXS223,B738,EGNM,GCTS,N/A
FIN1721,A359,EFHK,GCLP,N/A
VIR73,A333,EGCC,KMCO,N/A
POE2230,DH8D,CYHZ,CYOW,N/A
EXS545,B738,EGNT,GCRR,N/A
RYR4754,B738,GCTS,EGGD,N/A
EXS1376,B738,BIKF,EGBB,N/A
EIN68,A333,KLAX,EIDW,N/A
EJM519,GLF6,KIAD,LEMG,N/A
DAL2,A332,EGLL,KJFK,N/A
AAL51,B77W,EGLL,KDFW,N/A
BAW253,B772,EGLL,MYNN,N/A
DAL83,A339,LFPG,KATL,N/A
DAL84,A359,KATL,LFPG,N/A
AFR175,B789,MMMX,LFPG,N/A
ASY459,,EGPK,Unknown,N/A
QTR703,B77W,OTHH,KJFK,N/A
TOM192,B788,EGCC,MMUN,N/A
QTR706,A359,KJFK,OTHH,N/A
AFR497,B772,SPJC,LFPG,N/A
EXS1401,B738,EGSS,GCRR,N/A
IBE2624,A332,KLAX,LEBL,N/A
AFR498,A332,LFPG,TNCM,N/A
AAL63,B788,LFPG,KMIA,N/A
BWA527,B38M,KJFK,SYCJ,N/A
VKG1124,A21N,EKCH,LPMA,N/A
EIN777,A320,GCRR,EIDW,N/A
VLG3014,A321,LEBL,GCFV,N/A
BAW268,A388,KLAX,EGLL,N/A
BAW270,B77W,KLAS,EGLL,N/A
QTR8104,B77L,KORD,OTHH,N/A
AAL69,B772,LEMD,KMIA,N/A
TOM9EG,B738,EGBB,Unknown,N/A
DAL273,B764,LPPT,KJFK,N/A
AZG8112,B748,ELLX,KJFK,N/A
RZO120,A21N,LPPD,LPPT,N/A
BAW274,A35K,KLAS,EGLL,N/A
TAP12,A339,SBRF,LPPT,N/A
TOM9FB,B738,EGCC,Unknown,N/A
TOM216,B38M,EGCC,GVBA,N/A
TOM532,B38M,EGKK,GVBA,N/A
TOM38,B789,EGKK,MMUN,N/A
AFR6741,B77L,KORD,LFPG,N/A
AAL79,B77W,EGLL,KDFW,N/A
AFR842,B77W,LFPO,TFFF,N/A
UAE203,A388,OMDB,KJFK,N/A
BAW286,B77W,KSFO,EGLL,N/A
QTR732,B77L,KDFW,OTHH,N/A
UAE206,A388,KJFK,LIMC,N/A
BAW288,A35K,KPHX,EGLL,N/A
OYHVH,,BGGH,Unknown,N/A
OYHVI,,BGGH,Unknown,N/A
FLI401,A320,EKVG,BIKF,N/A
RYR1972,B738,LEVC,GCTS,N/A
AAL93,B788,LSZH,KPHL,N/A
UAE214,B77W,KMIA,OMDB,N/A
JTD261,B738,EKCH,Unknown,N/A
AAL95,B788,LEMD,KJFK,N/A
IBE312,A359,MMMX,LEMD,N/A
VLG3046,A320,LEZL,GCLP,N/A
OYHVP,,BGGH,Unknown,N/A
TAM8084,B773,SBGR,EGLL,N/A
LOT10,B788,KORD,EPKK,N/A
AAR587,B744,KJFK,EBBR,N/A
DLH459,A359,KSFO,EDDM,N/A
FDX5038,B77L,KMEM,EDDK,N/A
JBU1621,A21N,EGLL,KBOS,N/A
DLH462,B748,EDDF,KMIA,N/A
AVA16,B788,SKRG,LEMD,N/A
TRA5686,B738,GCRR,EHAM,N/A
UAL249,B752,GCTS,KEWR,N/A
UAE231,A388,OMDB,KIAD,N/A
UAL879,B772,EGLL,KIAH,N/A
KLM195,B77W,EHAM,SMJP,N/A
EXS1451,B738,EGSS,GCFV,N/A
UAL883,B763,EGLL,KEWR,N/A
QTR764,B77W,CYUL,OTHH,N/A
IBE333,A332,LEMD,KMIA,N/A
RYR3153,B738,GCTS,EGNX,N/A
TAP57,A339,LPPT,SBBR,N/A
AVA27,B788,LEMD,SKBO,N/A
UAE241,A388,OMDB,CYYZ,N/A
AFR2,A359,LFPG,KJFK,N/A
EWG9601,A320,LPMA,EDDL,N/A
BOX443,B77L,KORD,EDDF,N/A
RZO172,A320,LPPD,LPPR,N/A
UAL905,B763,EGLL,KEWR,N/A
SAS2837,A20N,EKCH,GCLP,N/A
UAE255,B77L,LEBL,MMMX,N/A
QTR781,A35K,OTHH,KMIA,N/A
AJT8620,B763,EBBR,KBGR,N/A
TOM88H,B738,EGHH,Unknown,N/A
LOT46,B789,CYYZ,EPWA,N/A
IBE352,A332,KLAX,LEMD,N/A
GJM3311,B738,EYVI,Unknown,N/A
DLH499,B748,MMMX,EDDF,N/A
AFR4081,B77W,KLAX,LFPG,N/A
UAL923,B789,KLAX,EGLL,N/A
AFR4083,B77W,CYYZ,LFPG,N/A
CLX6311,B744,KLAX,LIMC,N/A
GRL779,A338,EKCH,BGGH,N/A
IBE364,A332,KDFW,LEMD,N/A
TAM8147,B773,LPPT,SBGR,N/A
RYR3512,B38M,GCRR,EGGW,N/A
CAT337,B738,EKBI,Unknown,N/A
SAT160,DH8D,LPPD,LPMA,N/A
LAN706,B789,SCEL,LEMD,N/A
LAN707,B788,LEMD,SCEL,N/A
FDM992,E190,BIKF,EFHK,N/A
RYR251,B38M,GCRR,EGSS,N/A
FDX34,B77L,KMEM,EGSS,N/A
