Callsign,Aircraft Type,Departure,Destination,Departure Time (UTC)
TUI2138,B738,EDDF,GCFV,N/A
THY30,A333,KEWR,LTFM,N/A
TAP4YG,,LPPT,Unknown,N/A
SAS595,A20N,EKCH,BIKF,N/A
AEA56,B789,MPTO,LEMD,N/A
KLM744,B77W,SPJC,EHAM,N/A
TUI2142,B38M,EDDF,GCTS,N/A
RAM209,B789,CYUL,GMMN,N/A
EIN52,A332,KSEA,EIDW,N/A
THY34,B789,KIAH,LTFM,N/A
UAL163,B772,OMDB,KEWR,N/A
RAM211,B788,CYYZ,GMMN,N/A
EXS223,B738,EGNM,GCTS,N/A
AEA64,B789,MMUN,LEMD,N/A
EZY7632,A320,LPMA,LPPT,N/A
KLM755,B772,SEGU,EHAM,N/A
ETH500,A35K,LIRF,KIAD,N/A
ETD21,A35K,OMAA,CYYZ,N/A
AEA72,B788,SVMI,LEMD,N/A
KLM760,B789,MROC,EHAM,N/A
SAS936,A333,KSFO,EKCH,N/A
EIN68,A333,KLAX,EIDW,N/A
OCN12,A332,KLAS,EDDF,N/A
AAL51,B77W,EGLL,KDFW,N/A
DAL83,A339,LFPG,KATL,N/A
DAL84,A359,KATL,LFPG,N/A
AFR175,B789,MMMX,LFPG,N/A
QTR8080,B77L,KIAH,EBLG,N/A
QTR703,B77W,OTHH,KJFK,N/A
AAL56,B77W,KMIA,EGLL,N/A
VLG3005,A320,GCLP,LEBL,N/A
UAL187,B789,FAOR,KEWR,N/A
THY904,B789,MPTO,LTFM,N/A
QTR706,A359,KJFK,OTHH,N/A
AEA194,B788,SKBO,LEMD,N/A
AMX70,B788,MMMX,LIRF,N/A
IBE2624,A332,KLAX,LEBL,N/A
FDX9183,B77L,KOAK,EBLG,N/A
EZY2733,A321,EGGD,GCRR,N/A
AAL63,B788,LFPG,KMIA,N/A
VKG1124,A21N,EKCH,LPMA,N/A
BAW266,B789,KPDX,EGLL,N/A
AEA198,B788,SKRG,LEMD,N/A
BAW268,A388,KLAX,EGLL,N/A
BAW270,B77W,KLAS,EGLL,N/A
QTR8104,B77L,KORD,OTHH,N/A
EXS1723,B738,EGCC,BIKF,N/A
BAW272,A35K,KSAN,EGLL,N/A
AAL69,B772,LEMD,KMIA,N/A
RZO120,A21N,LPPD,LPPT,N/A
NOS797,B789,MMUN,LIPX,N/A
BAW274,A35K,KLAS,EGLL,N/A
TOM9FB,B738,EGCC,Unknown,N/A
AFR6741,B77L,KORD,LFPG,N/A
AAL78,B772,KDFW,EGLL,N/A
BAW48,B78X,KSEA,EGLL,N/A
UAE203,A388,OMDB,KJFK,N/A
TAM8070,B773,SBGR,EDDF,N/A
QTR731,B77L,OTHH,KDFW,N/A
BAW286,B77W,KSFO,EGLL,N/A
QTR732,B77L,KDFW,OTHH,N/A
UAE206,A388,KJFK,LIMC,N/A
