Callsign,Aircraft Type,Departure,Destination,Departure Time (UTC)
EXS529,B738,EGNT,Unknown,N/A
MAX190,BE10,CYHU,CYKL,N/A
FPY621,A21N,GCTS,BIKF,N/A
AIC102,A359,KJFK,VIDP,N/A
PVL9231,DH8A,CYQM,CYWK,N/A
THY31,B77W,LTFM,KATL,N/A
ARG1133,A330,LEMD,SAEZ,N/A
RAM208,B789,GMMN,CYUL,N/A
THY33,B789,LTFM,KIAH,N/A
AIC106,A359,KEWR,VIDP,N/A
EIN53,A333,EIDW,KSEA,N/A
DAL67,A359,LIRF,KATL,N/A
ICE671,B38M,BIKF,KDEN,N/A
TAP253,A21N,LPPT,CYUL,N/A
EZY8044,A320,GCFV,EGKK,N/A
SAS927,A21N,EKCH,KBOS,N/A
AAL39,B77W,EGLL,KMIA,N/A
EIN125,A333,EIDW,KORD,N/A
TUN5,,BIKF,Unknown,N/A
AIC116,B77W,KJFK,VABB,N/A
DLH402,B748,EDDF,KEWR,N/A
BAW2263,B772,EGKK,MKJP,N/A
ETH501,A35K,KIAD,HAAB,N/A
DLH404,A343,EDDF,KJFK,N/A
IBS1622,A321,GCLP,LEMD,N/A
FFT3573,A21N,KEWR,TJSJ,N/A
EZY2720,A320,GCFV,EGGD,N/A
TRA6672,B738,GCTS,EHAM,N/A
DAL4,B764,EGLL,KJFK,N/A
EIN135,A21N,EINN,KBOS,N/A
PVL847,DH8C,CYWK,CYUL,N/A
JBU2289,A21N,EHAM,KJFK,N/A
VIR5,A339,EGLL,KMIA,N/A
DHK393,B77L,KCVG,EGNX,N/A
SAS943,A333,EKCH,KORD,N/A
DLH412,A359,EDDM,KEWR,N/A
EIN137,A21N,EIDW,KBOS,N/A
AIE853,DH8C,CYVP,CYKG,N/A
ICE689,B38M,BIKF,KMCO,N/A
RYR5491,B738,GCFV,LEMD,N/A
VIR9,A35K,EGLL,KJFK,N/A
QTR704,B77W,KJFK,OTHH,N/A
AAL57,B77W,EGLL,KMIA,N/A
IBE263,A332,LEMD,MDSD,N/A
TAP2427,,LPPT,Unknown,N/A
A7878786,,CYQY,Unknown,N/A
RYR5819,B738,GCFV,LIRF,N/A
ETH516,B788,DXXX,KIAD,N/A
DLH418,B744,EDDF,KIAD,N/A
CFG2228,A339,EDDF,MDPC,N/A
DAL265,B764,LFPG,KJFK,N/A
TAP1691,A20N,LPPT,LPMA,N/A
EZY2732,A321,GCTS,EGGD,N/A
AAL259,B788,LPPT,KPHL,N/A
ACA604,BCS3,CYYZ,CYHZ,N/A
ETH519,B788,KATL,HAAB,N/A
