Callsign,Aircraft Type,Departure,Destination,Departure Time (UTC)
UAL914,B788,LFPG,KIAD,N/A
AEA9118,B738,LEMD,GCXO,N/A
AFR4081,B77W,KLAX,LFPG,N/A
AFR4083,B77W,CYYZ,LFPG,N/A
TAP84,A339,SBGR,LPPT,N/A
CFG1584,A320,EDDM,GCTS,N/A
CLX6311,B744,KLAX,LIMC,N/A
PVL3071,DH8D,CYYT,CYHZ,N/A
RYR3512,B38M,GCRR,EGGW,N/A
CFG2016,A339,EDDF,KJFK,N/A
