Callsign,Aircraft Type,Departure,Destination,Departure Time (UTC)
SWR67,A333,KMIA,LSZH,N/A
DJT101,A21N,KEWR,LFPO,N/A
EIN116,A21N,KIAD,EIDW,N/A
SAS926,A21N,KIAD,EKCH,N/A
AFR159,B789,KDFW,LFPG,N/A
DAL242,A339,KBOS,EHAM,N/A
SAS928,A21N,KBOS,EKCH,N/A
BEL502,A333,KJFK,EBBR,N/A
DAL72,A333,KATL,EHAM,N/A
SAS930,A333,KATL,EKCH,N/A
ACA886,A333,CYYZ,LOWW,N/A
CFG2207,A339,MUHG,EDDF,N/A
AEA175,B789,LEMD,SPJC,N/A
DLH401,A346,KJFK,EDDF,N/A
CFG2209,A339,MDPC,EDDF,N/A
AFR479,A332,TNCM,LFPG,N/A
CFG2199,A339,MUVR,EDDF,N/A
EIN126,A21N,CYYZ,EIDW,N/A
AAL44,B788,KJFK,LFPG,N/A
DLH403,B748,KEWR,EDDF,N/A
N141QS,GLEX,KSJC,LIML,N/A
BAW250,B789,SCEL,EGLL,N/A
ETD22,A35K,CYYZ,OMAA,N/A
AAL48,B788,KDFW,LFPG,N/A
EIN132,A21N,KBOS,EIDW,N/A
DAL1,A332,KJFK,EGLL,N/A
JBU818,A21N,TTPP,KJFK,N/A
AAL50,B77W,KDFW,EGLL,N/A
DAL82,B739,KATL,LFPG,N/A
EIN134,A21N,KBOS,EINN,N/A
OCN13,A333,MMTL,EDDF,N/A
VIR4,A35K,KJFK,EGLL,N/A
UAL182,B789,KDEN,EDDF,N/A
BAW254,B78X,TBPB,EGLL,N/A
DLH411,A359,KJFK,EDDM,N/A
ICE688,B38M,KMCO,BIKF,N/A
DAL86,A332,KDTW,EDDF,N/A
EIN140,A333,KMIA,EIDW,N/A
VIR92,A333,KMCO,EGLL,N/A
DLH419,B744,KIAD,EDDF,N/A
IBE266,A332,MDSD,LEMD,N/A
AAL62,B788,KMIA,LFPG,N/A
QTR708,B77W,KIAD,OTHH,N/A
OCN2005,A333,MKJS,EDDF,N/A
AFR499,A332,TNCM,LFPG,N/A
IBE268,A332,SBGR,LEMD,N/A
TOW2230,A332,EGVN,Unknown,N/A
DLH425,A359,KBOS,EDDM,N/A
DAL272,B764,KJFK,LPPT,N/A
N726AN,B77W,EDFH,KGTB,N/A
AAL68,B772,KMIA,LEMD,N/A
AAL70,B772,KDFW,EDDF,N/A
