Callsign,Aircraft Type,Departure,Destination,Departure Time (UTC)
FPY9,A20N,BIKF,Unknown,N/A
AEA55,B789,LEMD,MPTO,N/A
DASHY,GL5T,GCLP,Unknown,N/A
EZY8036,A320,GCTS,EGKK,N/A
PVL9231,DH8C,CYDF,CYQM,N/A
KLM743,B77W,EHAM,SPJC,N/A
RCH833,,,Unknown,N/A
EXS218,B738,GCRR,EGNM,N/A
DAL237,A333,EHAM,KTPA,N/A
ACA879,B788,LFBO,CYUL,N/A
EIN117,A21N,EIDW,KIAD,N/A
DHK375,B763,KCVG,EBBR,N/A
DAL67,A359,LIRF,KATL,N/A
EZY8043,A320,EGKK,GCFV,N/A
TOM2GN,B738,GCLP,Unknown,N/A
SAS925,A21N,EKCH,KIAD,N/A
N98LE,GLEX,KMCO,EDDF,N/A
AAL37,B772,LEMD,KDFW,N/A
IBE243,A359,LEMD,MROC,N/A
SAS927,A21N,EKCH,KBOS,N/A
FIN1722,A359,GCLP,EFHK,N/A
PUE701,A330,LEMD,SVMI,N/A
DAL243,A339,EHAM,KBOS,N/A
SAS929,A333,EKCH,KATL,N/A
BAW243,B789,EGLL,MMMX,N/A
DAL73,A333,EHAM,KATL,N/A
TUN5,,BIKF,Unknown,N/A
ACA887,A333,LOWW,CYYZ,N/A
DLH400,A346,EDDF,KJFK,N/A
DAL75,A333,EHAM,KATL,N/A
AFR480,B772,LFPG,SPJC,N/A
DLH402,B748,EDDF,KEWR,N/A
EIN127,A21N,EIDW,CYYZ,N/A
VIR77,A333,EGCC,TBPB,N/A
KLM757,B78X,EHAM,MPTO,N/A
BAW2263,B772,EGKK,MKJP,N/A
AAL45,B788,LFPG,KJFK,N/A
RYR2969,B738,EGPH,GCTS,N/A
N141QS,GLEX,LIML,KSJC,N/A
IBS1621,A320,LEMD,GCLP,N/A
KLM759,B789,EHAM,MROC,N/A
SWR86,A333,LSZH,CYUL,N/A
EIN133,A21N,EIDW,KBOS,N/A
EIN69,A333,EIDW,KLAX,N/A
DAL2,A332,EGLL,KJFK,N/A
DLH408,A333,EDDF,KRDU,N/A
EIN135,A21N,EINN,KBOS,N/A
DLH410,A359,EDDM,KJFK,N/A
EIN764,A320,EIDW,GCTS,N/A
KLM765,A333,EHAM,TNCA,N/A
VIR5,A339,EGLL,KMIA,N/A
JBU2289,A21N,EHAM,KJFK,N/A
QTR701,B77W,OTHH,KJFK,N/A
AFR816,B789,LFPG,MUHA,N/A
DAL87,A332,EDDF,KDTW,N/A
AFR178,A359,LFPG,MMMX,N/A
AAL57,B77W,EGLL,KMIA,N/A
QTR704,B77W,KJFK,OTHH,N/A
OCN2,A333,EDDF,MDPC,N/A
VIR91,A333,EGLL,KMCO,N/A
DAL91,A339,EHAM,KMCO,N/A
IBE263,A332,LEMD,MDSD,N/A
VLG3007,A320,GCLP,LEBL,N/A
AEA193,B788,LEMD,SKBO,N/A
DAL263,B764,LFPG,KJFK,N/A
TOM3AH,B38M,GCLP,Unknown,N/A
QTR707,B77W,OTHH,KIAD,N/A
IBE265,A332,LEMD,MDSD,N/A
DLH418,B744,EDDF,KIAD,N/A
EZY2731,A321,EGGD,GCTS,N/A
VJT801,GLEX,LEMD,KIAD,N/A
BMA302,E75L,KBOS,TXKF,N/A
BUY175,E170,TXKF,TQPF,N/A
CFG2228,A339,EDDF,MDPC,N/A
DAL265,B764,LFPG,KJFK,N/A
AAL259,B788,LPPT,KPHL,N/A
NOS787,B789,LIMC,KJFK,N/A
NOS160,B789,LKPR,MDPC,N/A
AFR24,B77W,LFPG,KLAX,N/A
SAS953,A333,EKCH,KMIA,N/A
DLH422,A332,EDDF,KBOS,N/A
AEA89,B789,LEMD,MDSD,N/A
QTR713,A35K,OTHH,KIAH,N/A
EIN778,A320,EIDW,GCRR,N/A
EIN87,A21N,EIDW,KCLE,N/A
TFL365,B788,EHAM,TNCC,N/A
BJN99,B737,EIDW,KJFK,N/A
DAL273,B764,LPPT,KJFK,N/A
RYR88,B738,LPPT,LPMA,N/A
PVL2252,DH8D,CYHZ,CYYT,N/A
DLH428,A359,EDDM,KCLT,N/A
BAW273,A35K,EGLL,KSAN,N/A
EZY6305,A320,EGKK,GCRR,N/A
AEA97,B789,LEMD,KMIA,N/A
DLH430,A346,EDDF,KORD,N/A
CFG3924,A339,EDDL,MKJS,N/A
KLM787,A332,EHAM,TNCM,N/A
RZO125,A21N,LPPT,LPPD,N/A
EXS892,A321,GCRR,EGCC,N/A
QTR725,B77W,OTHH,KORD,N/A
UAL3045,B764,LEMD,KEWR,N/A
UAE201,A388,OMDB,KJFK,N/A
UAL3046,B764,LIRF,KEWR,N/A
KBA317,,,Unknown,N/A
HYD310,DH8C,CYBC,CYGV,N/A
QTR729,A35K,OTHH,KDFW,N/A
TFL381,B788,EHAM,TNCA,N/A
EXS910,A321,GCFV,EGCC,N/A
CFG1522,A321,GCLP,EDDM,N/A
DLH444,A343,EDDF,KATL,N/A
BAW289,A35K,EGLL,KPHX,N/A
AAL87,B789,BIKF,KORD,N/A
PVL2270,DH8D,CYHZ,CYQX,N/A
AFR50,B77W,LFPG,KIAD,N/A
DLH446,A346,EDDF,KDEN,N/A
