Callsign,Aircraft Type,Departure,Destination,Departure Time (UTC)
AFR780,B772,LFPG,TFFR,N/A
SWR66,A333,LSZH,KMIA,N/A
PVL9231,DH8C,CYYT,CYDF,N/A
KLM743,B77W,EHAM,SPJC,N/A
DJT100,A21N,LFPO,KEWR,N/A
KLM745,B78X,EHAM,SKBO,N/A
ACA879,B788,LFBO,CYUL,N/A
EIN117,A21N,EIDW,KIAD,N/A
DAL237,A333,EHAM,KTPA,N/A
DHK375,B763,KCVG,EBBR,N/A
TOM168,B788,EGCC,MDPC,N/A
SAS925,A21N,EKCH,KIAD,N/A
N98LE,GLEX,KMCO,EDDF,N/A
AAL37,B772,LEMD,KDFW,N/A
EXS224,B738,GCTS,EGNM,N/A
IBE243,A359,LEMD,MROC,N/A
FIN1722,A359,GCLP,EFHK,N/A
DAL243,A339,EHAM,KBOS,N/A
PUE701,A330,LEMD,SVMI,N/A
DAL73,A333,EHAM,KATL,N/A
SAS929,A333,EKCH,KATL,N/A
VIR73,A333,EGCC,KMCO,N/A
EIN61,A333,EIDW,KSFO,N/A
ACA887,A333,LOWW,CYYZ,N/A
DLH400,A346,EDDF,KJFK,N/A
AFR480,B772,LFPG,SPJC,N/A
DAL75,A333,EHAM,KATL,N/A
EIN127,A21N,EIDW,CYYZ,N/A
NSZ2872,B38M,EFHK,GCLP,N/A
VIR77,A333,EGCC,TBPB,N/A
KLM757,B78X,EHAM,MPTO,N/A
AAL45,B788,LFPG,KJFK,N/A
EXS546,B738,GCRR,EGNT,N/A
BAW2263,B772,EGKK,MKJP,N/A
KLM759,B789,EHAM,MROC,N/A
FIN1731,A321,EFHK,LPMA,N/A
SWR86,A333,LSZH,CYUL,N/A
EJM519,GLF6,KIAD,LEMG,N/A
EIN133,A21N,EIDW,KBOS,N/A
AAL49,B788,LFPG,KDFW,N/A
DAL2,A332,EGLL,KJFK,N/A
FFT3574,A21N,TJSJ,KEWR,N/A
NSZ2877,B38M,GCTS,EFHK,N/A
DLH408,A333,EDDF,KRDU,N/A
UAL181,B789,EDDF,KDEN,N/A
CFG1478,A321,EDDF,GCTS,N/A
AAL51,B77W,EGLL,KDFW,N/A
DAL83,A339,LFPG,KATL,N/A
BAW253,B772,EGLL,MYNN,N/A
DLH410,A359,EDDM,KJFK,N/A
DAL84,A359,KATL,LFPG,N/A
BAW255,B78X,EGLL,TBPB,N/A
KLM765,A333,EHAM,TNCA,N/A
JBU2289,A21N,EHAM,KJFK,N/A
QTR701,B77W,OTHH,KJFK,N/A
ASY459,,EGPK,Unknown,N/A
DAL87,A332,EDDF,KDTW,N/A
AFR816,B789,LFPG,MUHA,N/A
AFR178,A359,LFPG,MMMX,N/A
OCN2,A333,EDDF,MDPC,N/A
DAL91,A339,EHAM,KMCO,N/A
VIR91,A333,EGLL,KMCO,N/A
TUI2168,B738,EDDS,GCLP,N/A
TRA6365,B738,EHEH,GCLP,N/A
DAL263,B764,LFPG,KJFK,N/A
TOM192,B788,EGCC,MMUN,N/A
VJT801,GLEX,LEMD,KIAD,N/A
AFR22,B77W,LFPG,KLAX,N/A
CLX5801,B748,KJFK,ELLX,N/A
IBE265,A332,LEMD,MDSD,N/A
QTR707,B77W,OTHH,KIAD,N/A
ACA602,A321,CYYZ,CYHZ,N/A
AAL259,B788,LPPT,KPHL,N/A
AFR498,A332,LFPG,TNCM,N/A
NOS787,B789,LIMC,KJFK,N/A
WZZ1495,A321,EPWA,GCTS,N/A
NOS160,B789,LKPR,MDPC,N/A
AFR24,B77W,LFPG,KLAX,N/A
EXS1402,B738,GCRR,EGSS,N/A
AAL63,B788,LFPG,KMIA,N/A
SAS953,A333,EKCH,KMIA,N/A
DAL1877,A21N,KJFK,TJSJ,N/A
DLH422,A332,EDDF,KBOS,N/A
TVF4660,B738,LFPO,GCRR,N/A
VKG1125,A21N,LPMA,EKCH,N/A
UAL195,B772,EDDM,KSFO,N/A
QTR713,A35K,OTHH,KIAH,N/A
AFR30,A359,LFPG,KATL,N/A
TFL365,B788,EHAM,TNCC,N/A
BJN99,,EIDW,KJFK,N/A
IBB5109,E295,LEPA,GCLP,N/A
AAL69,B772,LEMD,KMIA,N/A
DAL273,B764,LPPT,KJFK,N/A
AAL71,B772,EDDF,KDFW,N/A
BAW273,A35K,EGLL,KSAN,N/A
AZG8112,B748,ELLX,KJFK,N/A
DLH428,A359,EDDM,KCLT,N/A
DLH430,A346,EDDF,KORD,N/A
EWG9542,A21N,EDDL,GCLP,N/A
BTI881,BCS3,EETN,GCTS,N/A
CFG3924,A339,EDDL,MKJS,N/A
KLM787,A332,EHAM,TNCM,N/A
CGBLJ,C340,CYFC,KBOS,N/A
TOM38,B789,EGKK,MMUN,N/A
BAW281,B77W,EGLL,KLAX,N/A
ENT11JB,B38M,GCFV,Unknown,N/A
UAE201,A388,OMDB,KJFK,N/A
UAL3045,B764,LEMD,KEWR,N/A
AAL79,B77W,EGLL,KDFW,N/A
AFR842,B77W,LFPO,TFFF,N/A
TAM8067,B789,LFPG,SBGR,N/A
UAL3046,B764,LIRF,KEWR,N/A
DLH438,A343,EDDF,KDFW,N/A
BAW283,B77W,EGLL,KLAX,N/A
TOM44,B789,EGKK,MKJS,N/A
QTR729,A35K,OTHH,KDFW,N/A
HYD310,DH8C,CYBC,CYGV,N/A
TFL381,B788,EHAM,TNCA,N/A
DLH442,A343,EDDF,KDTW,N/A
DLH444,A343,EDDF,KATL,N/A
TAM8073,B773,LIMC,SBGR,N/A
EWG9558,A321,EDDL,GCTS,N/A
AFR50,B77W,LFPG,KIAD,N/A
TOM1TY,B38M,EGNT,Unknown,N/A
DAL617,A319,KJFK,TXKF,N/A
