Callsign,Aircraft Type,Departure,Destination,Departure Time (UTC)
JTD510,B738,GCTS,Unknown,N/A
THY30,A333,KEWR,LTFM,N/A
RYR7562,B38M,EDLV,GCTS,N/A
THY32,B789,KATL,LTFM,N/A
AEA56,B789,MPTO,LEMD,N/A
AIC105,A359,VIDP,KEWR,N/A
EIN52,A332,KSEA,EIDW,N/A
RAM209,B789,CYUL,GMMN,N/A
KLM744,B77W,SPJC,EHAM,N/A
UAL163,B772,OMDB,KEWR,N/A
THY34,B789,KIAH,LTFM,N/A
RAM211,B788,CYYZ,GMMN,N/A
RYR5469,B38M,GCFV,LEMD,N/A
AEA64,B789,MMUN,LEMD,N/A
AFR475,B789,MPTO,LFPG,N/A
EIN60,A333,KSFO,EIDW,N/A
EIN124,A333,KORD,EIDW,N/A
IBE2604,A332,SAEZ,Unknown,N/A
KLM755,B772,SEGU,EHAM,N/A
ETH500,A35K,LIRF,KIAD,N/A
AIC119,B77W,VABB,KJFK,N/A
EXS1375,B738,EGBB,BIKF,N/A
RYR4753,B738,EGGD,GCTS,N/A
AEA72,B788,SVMI,LEMD,N/A
ETD21,A35K,OMAA,CYYZ,N/A
KLM760,B789,MROC,EHAM,N/A
AEA9018,B738,GCLP,LEMD,N/A
AFR485,B77W,SBGL,LFPG,N/A
EIN68,A333,KLAX,EIDW,N/A
OCN12,A332,KLAS,EDDF,N/A
BAW252,B772,MYNN,EGLL,N/A
FAF4030,,LFMI,Unknown,N/A
DAL3,B764,KJFK,EGLL,N/A
FAF4031,,LFMI,Unknown,N/A
AFR175,B789,MMMX,LFPG,N/A
QTR8080,B77L,KIAH,EBLG,N/A
TAP1685,A320,LPPT,LPMA,N/A
AAL56,B77W,KMIA,EGLL,N/A
QTR703,B77W,OTHH,KJFK,N/A
UAL187,B789,FAOR,KEWR,N/A
AFR179,A359,MMMX,LFPG,N/A
THY904,B789,MPTO,LTFM,N/A
QTR706,A359,KJFK,OTHH,N/A
WFL1506,A359,MUHA,LEMD,N/A
AMX70,B788,MMMX,LIRF,N/A
DAL264,B764,KJFK,LFPG,N/A
AEA194,B788,SKBO,LEMD,N/A
IBE2624,A332,KLAX,LEBL,N/A
BAW894,A21N,EGLL,BIKF,N/A
ETH518,B788,LIRF,KATL,N/A
FDX9183,B77L,KOAK,EBLG,N/A
EIN776,A320,EIDW,GCRR,N/A
BAW266,B789,KPDX,EGLL,N/A
PNO704,PC12,CYHU,CYFB,N/A
AEA198,B788,SKRG,LEMD,N/A
BAW268,A388,KLAX,EGLL,N/A
BAW270,B77W,KLAS,EGLL,N/A
