Callsign,Aircraft Type,Departure,Destination,Departure Time (UTC)
KLM741,B78X,SKCG,EHAM,N/A
THY30,A333,KEWR,LTFM,N/A
RYR417,B38M,GCTS,EGNT,N/A
THY32,B789,KATL,LTFM,N/A
RAM209,B789,CYUL,GMMN,N/A
DAL236,A333,KTPA,EHAM,N/A
ACA878,B788,CYUL,LFBO,N/A
UAL164,B772,KEWR,OMDB,N/A
DAL66,A359,KATL,LIRF,N/A
THY36,B789,CYUL,LTFM,N/A
AAL36,B772,KDFW,LEMD,N/A
VGI198,A333,TBPB,EGLL,N/A
AAL38,B77W,KMIA,EGLL,N/A
AEA64,B789,MMUN,LEMD,N/A
AFR475,B789,MPTO,LFPG,N/A
IBE244,A359,MROC,LEMD,N/A
EIN60,A333,KSFO,EIDW,N/A
PUE702,A332,SVMI,LEMD,N/A
ACA886,A333,CYYZ,LOWW,N/A
EIN124,A333,KORD,EIDW,N/A
SAS930,A333,KATL,EKCH,N/A
RAM219,B789,KIAD,GMMN,N/A
VIR74,A333,KMCO,EGCC,N/A
DAL74,A333,KATL,EHAM,N/A
KLM755,B772,SEGU,EHAM,N/A
VIR78,A333,TBPB,EGCC,N/A
KLM758,B78X,MPTO,EHAM,N/A
KLM760,B789,MROC,EHAM,N/A
DLH405,A343,KJFK,EDDF,N/A
BAW252,B772,MYNN,EGLL,N/A
OCN12,A332,KLAS,EDDF,N/A
DAL3,B764,KJFK,EGLL,N/A
OCN13,A333,MMTL,EDDF,N/A
ABD7267,B744,KGSP,EDFH,N/A
JBU2288,A21N,KJFK,EHAM,N/A
EIN136,A21N,KBOS,EIDW,N/A
QTR8080,B77L,KIAH,EBLG,N/A
IBE258,A332,MPTO,LEMD,N/A
VIR6,A339,KMIA,EGLL,N/A
KLM767,A333,TNCB,EHAM,N/A
DLH413,A359,KEWR,EDDM,N/A
SWR93,B77W,SBGR,LSZH,N/A
QTR702,B77W,KJFK,OTHH,N/A
EIN140,A333,KMIA,EIDW,N/A
VIR8,A35K,KLAX,EGLL,N/A
AAL56,B77W,KMIA,EGLL,N/A
AFR817,B789,MUHA,LFPG,N/A
THY904,B789,MPTO,LTFM,N/A
SLM994,A346,SMJP,EHAM,N/A
AFR179,A359,MMMX,LFPG,N/A
DAL90,A339,KMCO,EHAM,N/A
DAL262,B764,KJFK,LFPG,N/A
WFL1506,A359,MUHA,LEMD,N/A
AAL258,B788,KPHL,LPPT,N/A
DAL264,B764,KJFK,LFPG,N/A
AMX70,B788,MMMX,LIRF,N/A
QTR708,B77W,KIAD,OTHH,N/A
FBU721,A359,KEWR,LFPO,N/A
AEA88,B789,MDSD,LEMD,N/A
OCN2005,A333,MKJS,EDDF,N/A
ETH518,B788,LIRF,KATL,N/A
FDX9183,B77L,KOAK,EBLG,N/A
UAL194,B772,KSFO,EDDM,N/A
NOS790,B789,SKCG,LIMC,N/A
TOM835,B788,TBPB,EGNX,N/A
SAS954,A333,KMIA,EKCH,N/A
KLM777,A333,TTPP,EHAM,N/A
EIN86,A21N,KCLE,EIDW,N/A
QTR714,A35K,KIAH,OTHH,N/A
IBE2630,A332,KMIA,LEBL,N/A
DLH425,A359,KBOS,EDDM,N/A
CLX6851,B748,KORD,ELLX,N/A
GES201B,GLF6,MUHA,LEPA,N/A
DAL272,B764,KJFK,LPPT,N/A
IBE274,A332,MUHA,LEMD,N/A
FDX4,B77L,KMEM,EBLG,N/A
NOS797,B789,MMUN,LIPX,N/A
TFL370,B788,TNCC,EHAM,N/A
AEA98,B789,KMIA,LEMD,N/A
DLH435,A359,KORD,EDDM,N/A
THY78,B77W,KMIA,LTFM,N/A
AAL78,B772,KDFW,EGLL,N/A
QTR726,B77W,KORD,OTHH,N/A
BAW282,B77W,KLAX,EGLL,N/A
ASL501,A332,KJFK,LYBE,N/A
UAE202,A388,KJFK,OMDB,N/A
FDX918D,B77L,KOAK,EBLG,N/A
QTR730,A35K,KDFW,OTHH,N/A
UAE210,B77W,KEWR,LGAV,N/A
DLH447,A346,KDEN,EDDF,N/A
AAL90,B789,KORD,EGLL,N/A
BAW292,A35K,KIAD,EGLL,N/A
UAE212,A388,KIAH,OMDB,N/A
UAE213,B77W,OMDB,KMIA,N/A
IBE308,A359,MMMX,LEMD,N/A
AAL94,B788,KJFK,LEMD,N/A
BAW296,B78X,KORD,EGLL,N/A
AAL292,B789,KJFK,VIDP,N/A
AAL293,B789,VIDP,KJFK,N/A
DLH453,A359,KLAX,EDDM,N/A
ETH552,A359,LIRF,CYYZ,N/A
QTR744,A359,KBOS,OTHH,N/A
FPY700,A20N,BIKF,EDDB,N/A
UAE220,B77W,KMCO,OMDB,N/A
DLH457,B748,KLAX,EDDF,N/A
TOM243,B788,MMUN,EGBB,N/A
DLH461,A359,KMIA,EDDM,N/A
ACA43,B77L,VIDP,CYYZ,N/A
CPA811,A35K,KBOS,VHHH,N/A
LOT16,B788,KEWR,EPWA,N/A
ACA46,B789,CYYZ,VABB,N/A
UAL248,B752,KEWR,GCTS,N/A
QTR756,A35K,KATL,OTHH,N/A
CRL943,A339,TFFR,LFPO,N/A
IBE326,A359,KJFK,LEMD,N/A
ACA51,B789,VIDP,CYUL,N/A
DLH471,B744,CYYZ,EDDF,N/A
UAE236,B77W,KORD,OMDB,N/A
RZO3224,A20N,KBOS,LPPD,N/A
THY2,B77W,KJFK,LTFM,N/A
UAE238,B77W,KBOS,OMDB,N/A
ACA56,B789,CYYZ,OMDB,N/A
LOT27,B772,KJFK,EPWA,N/A
TAM8114,B789,SBGR,LEBL,N/A
ETH574,B788,LIRF,KORD,N/A
LOT30,B789,KMIA,EPWA,N/A
THY6,B77W,KORD,LTFM,N/A
TSC252,A332,CYUL,LEMG,N/A
FPY410,A21N,KBWI,BIKF,N/A
AFR83,B77W,KSFO,LFPG,N/A
QTR768,B77W,CYYZ,OTHH,N/A
THY8,B77W,KIAD,LTFM,N/A
IBE338,A333,KMIA,LEMD,N/A
BOX445,B77L,KORD,EDDF,N/A
BAW94,B788,CYUL,EGLL,N/A
UAL904,B763,KEWR,EGLL,N/A
AFR7,B77W,KJFK,LFPG,N/A
UAL907,B78X,KORD,EDDF,N/A
RZO177,A320,LPPR,LPPD,N/A
BAW98,B788,CYYZ,EGLL,N/A
BOX451,B77L,KJFK,EDDF,N/A
UAL909,B763,KORD,EHAM,N/A
QTR778,A35K,KMIA,OTHH,N/A
AFR895,B77W,TFFF,LFPG,N/A
UAE256,B77L,MMMX,LEBL,N/A
BOX457,B77L,KATL,EDDF,N/A
AFR99,B77W,KMIA,LFPG,N/A
DLH507,B748,SBGR,EDDF,N/A
PIA784,B77L,CYYZ,OPKC,N/A
DLH511,B748,SAEZ,EDDF,N/A
