Callsign,Aircraft Type,Departure,Destination,Departure Time (UTC)
FPY9,A20N,BIKF,Unknown,N/A
AIC102,A359,KJFK,VIDP,N/A
AEA55,B789,LEMD,MPTO,N/A
PVL9231,DH8C,CYDF,CYQM,N/A
THY31,B77W,LTFM,KATL,N/A
TVS6P7,B738,LPMA,LKPR,N/A
RAM208,B789,GMMN,CYUL,N/A
EZY8037,A320,EGKK,GCTS,N/A
EIN53,A333,EIDW,KSEA,N/A
AIC106,A359,KEWR,VIDP,N/A
AIE832,DH8C,CYQB,CYKL,N/A
ACA879,B788,LFBO,CYUL,N/A
DAL237,A333,EHAM,KTPA,N/A
EIN117,A21N,EIDW,KIAD,N/A
DHK375,B763,KCVG,EBBR,N/A
DAL67,A359,LIRF,KATL,N/A
SAS925,A21N,EKCH,KIAD,N/A
TOM2GN,B738,GCLP,Unknown,N/A
ICE671,B38M,BIKF,KDEN,N/A
RAM215,B789,GMMN,SBGR,N/A
AAL37,B772,LEMD,KDFW,N/A
RYR2018,B38M,GCRR,LEMD,N/A
SAS927,A21N,EKCH,KBOS,N/A
CFG1466,A321,GCTS,EDDP,N/A
PUE701,A330,LEMD,SVMI,N/A
DAL243,A339,EHAM,KBOS,N/A
BAW243,B789,EGLL,MMMX,N/A
SAS929,A333,EKCH,KATL,N/A
ACA887,A333,LOWW,CYYZ,N/A
DLH400,A346,EDDF,KJFK,N/A
EZY7634,A320,LPMA,LPPT,N/A
JZA8483,CRJ9,CYQY,CYYZ,N/A
AFR480,B772,LFPG,SPJC,N/A
DAL75,A333,EHAM,KATL,N/A
AIC116,B77W,KJFK,VABB,N/A
DLH402,B748,EDDF,KEWR,N/A
EIN127,A21N,EIDW,CYYZ,N/A
VIR77,A333,EGCC,TBPB,N/A
BAW2263,B772,EGKK,MKJP,N/A
ETH501,A35K,KIAD,HAAB,N/A
NSZ5708,,GCLP,Unknown,N/A
NSZ2873,B38M,GCLP,EFHK,N/A
RYR2969,B738,EGPH,GCTS,N/A
N141QS,GLEX,LIML,KSJC,N/A
ICE681,B752,BIKF,KSEA,N/A
KLM759,B789,EHAM,MROC,N/A
ROU1523,A319,CYYT,CYUL,N/A
SWR86,A333,LSZH,CYUL,N/A
FIN1732,A321,LPMA,EFHK,N/A
EIN133,A21N,EIDW,KBOS,N/A
EIN69,A333,EIDW,KLAX,N/A
EZY2719,A320,EGGD,GCFV,N/A
EIN135,A21N,EINN,KBOS,N/A
AXE6809,B738,BIKF,Unknown,N/A
DLH410,A359,EDDM,KJFK,N/A
EIN764,A320,EIDW,GCTS,N/A
KLM765,A333,EHAM,TNCA,N/A
VIR5,A339,EGLL,KMIA,N/A
JBU2289,A21N,EHAM,KJFK,N/A
FFT1166,A21N,KPHL,TJSJ,N/A
PVL848,DH8C,CYUL,CYWK,N/A
DHK393,B77L,KCVG,EGNX,N/A
AIE853,DH8C,CYQB,CYVP,N/A
QTR701,B77W,OTHH,KJFK,N/A
EIN137,A21N,EIDW,KBOS,N/A
SAS943,A333,EKCH,KORD,N/A
RYR5490,B738,LEMD,GCFV,N/A
AFR816,B789,LFPG,MUHA,N/A
ICE689,B38M,BIKF,KMCO,N/A
OCN2,A333,EDDF,MDPC,N/A
AAL57,B77W,EGLL,KMIA,N/A
QTR704,B77W,KJFK,OTHH,N/A
VIR91,A333,EGLL,KMCO,N/A
IBE263,A332,LEMD,MDSD,N/A
UAL1556,B39M,KEWR,TJSJ,N/A
DAL91,A339,EHAM,KMCO,N/A
TAP2427,,LPPT,Unknown,N/A
TUI2169,B738,GCLP,EDDS,N/A
EZY2729,A320,EGGD,GCTS,N/A
TOM3AH,B38M,GCLP,Unknown,N/A
DAL263,B764,LFPG,KJFK,N/A
AEA193,B788,LEMD,SKBO,N/A
DLH418,B744,EDDF,KIAD,N/A
VJT801,GLEX,LEMD,KIAD,N/A
QTR707,B77W,OTHH,KIAD,N/A
BMA302,E75L,KBOS,TXKF,N/A
DAL265,B764,LFPG,KJFK,N/A
AAL259,B788,LPPT,KPHL,N/A
JBU203,A320,KBOS,TXKF,N/A
CFG2228,A339,EDDF,MDPC,N/A
NOS787,B789,LIMC,KJFK,N/A
NOS160,B789,LKPR,MDPC,N/A
AFR24,B77W,LFPG,KLAX,N/A
ICE697,B38M,BIKF,CYVR,N/A
BTI1007,BCS3,EKBI,GCLP,N/A
ETH519,B788,KATL,HAAB,N/A
AEA89,B789,LEMD,MDSD,N/A
SAS953,A333,EKCH,KMIA,N/A
AIE863,DH8C,CYEY,CYVP,N/A
DLH422,A332,EDDF,KBOS,N/A
DAL584,A319,KATL,TXKF,N/A
BAW269,A388,EGLL,KLAX,N/A
EIN87,A21N,EIDW,KCLE,N/A
BJN99,B737,EIDW,KJFK,N/A
AKT876,AT43,CYFB,CYUX,N/A
RYR88,B738,LPPT,LPMA,N/A
EIN782,A320,EIDW,GCLP,N/A
DLH428,A359,EDDM,KCLT,N/A
AAL71,B772,EDDF,KDFW,N/A
BAW273,A35K,EGLL,KSAN,N/A
AEA97,B789,LEMD,KMIA,N/A
CFG3924,A339,EDDL,MKJS,N/A
DLH434,A359,EDDM,KORD,N/A
THY77,B77W,LTFM,KMIA,N/A
EXS892,A321,GCRR,EGCC,N/A
TOM17T,B738,GCLP,Unknown,N/A
EWG9547,A321,GCFV,EDDL,N/A
QTR725,B77W,OTHH,KORD,N/A
RYR1960,B38M,LEZL,GCTS,N/A
THY81,A333,LTFM,KBOS,N/A
UAL3045,B764,LEMD,KEWR,N/A
