Callsign,Aircraft Type,Departure,Destination,Departure Time (UTC)
THY30,A333,KEWR,LTFM,N/A
RYR7562,B38M,EDLV,GCTS,N/A
AEA56,B789,MPTO,LEMD,N/A
THY32,B789,KATL,LTFM,N/A
AIC105,A359,VIDP,KEWR,N/A
RAM209,B789,CYUL,GMMN,N/A
KLM744,B77W,SPJC,EHAM,N/A
UAL163,B772,OMDB,KEWR,N/A
RAM211,B788,CYYZ,GMMN,N/A
UAL164,B772,KEWR,OMDB,N/A
RYR2016,B738,GCRR,LEMD,N/A
THY36,B789,CYUL,LTFM,N/A
AAL36,B772,KDFW,LEMD,N/A
AAL38,B77W,KMIA,EGLL,N/A
EZY7631,A320,LPPT,LPMA,N/A
AEA64,B789,MMUN,LEMD,N/A
AFR475,B789,MPTO,LFPG,N/A
IBE244,A359,MROC,LEMD,N/A
EIN60,A333,KSFO,EIDW,N/A
EIN124,A333,KORD,EIDW,N/A
IBE2604,A332,SAEZ,Unknown,N/A
RAM219,B789,KIAD,GMMN,N/A
DAL74,A333,KATL,EHAM,N/A
KLM755,B772,SEGU,EHAM,N/A
ETH500,A35K,LIRF,KIAD,N/A
ROU1522,A319,CYUL,CYYT,N/A
AIC119,B77W,VABB,KJFK,N/A
RYR4753,B738,EGGD,GCTS,N/A
KLM760,B789,MROC,EHAM,N/A
DLH405,A343,KJFK,EDDF,N/A
OCN12,A332,KLAS,EDDF,N/A
BAW252,B772,MYNN,EGLL,N/A
NSZ5714,B38M,GCLP,EKCH,N/A
DAL3,B764,KJFK,EGLL,N/A
JBU2288,A21N,KJFK,EHAM,N/A
QTR8080,B77L,KIAH,EBLG,N/A
VIR6,A339,KMIA,EGLL,N/A
KLM767,A333,TNCB,EHAM,N/A
QTR702,B77W,KJFK,OTHH,N/A
VIR8,A35K,KLAX,EGLL,N/A
QTR703,B77W,OTHH,KJFK,N/A
AAL56,B77W,KMIA,EGLL,N/A
IBS1632,A320,GCLP,LEMD,N/A
AFR179,A359,MMMX,LFPG,N/A
THY904,B789,MPTO,LTFM,N/A
AEA84,B788,SBSV,LEMD,N/A
DAL262,B764,KJFK,LFPG,N/A
QTR706,A359,KJFK,OTHH,N/A
AEA194,B788,SKBO,LEMD,N/A
WFL1506,A359,MUHA,LEMD,N/A
AMX70,B788,MMMX,LIRF,N/A
DAL264,B764,KJFK,LFPG,N/A
BTI1006,BCS3,GCLP,EKBI,N/A
IBE2624,A332,KLAX,LEBL,N/A
AEA88,B789,MDSD,LEMD,N/A
FDX9183,B77L,KOAK,EBLG,N/A
FBU721,A359,KEWR,LFPO,N/A
ETH518,B788,LIRF,KATL,N/A
BAW266,B789,KPDX,EGLL,N/A
IBE2630,A332,KMIA,LEBL,N/A
BAW270,B77W,KLAS,EGLL,N/A
CLX6851,B748,KORD,ELLX,N/A
GES201B,GLF6,MUHA,LEPA,N/A
BAW272,A35K,KSAN,EGLL,N/A
NOS797,B789,MMUN,LIPX,N/A
RZO121,A21N,LPPT,LPPD,N/A
AEA98,B789,KMIA,LEMD,N/A
RYR94,B738,EIDW,GCLP,N/A
DLH435,A359,KORD,EDDM,N/A
