Callsign,Aircraft Type,Departure,Destination,Departure Time (UTC)
FPY621,A21N,GCTS,BIKF,N/A
AIC102,A359,KJFK,VIDP,N/A
MAX190,BE10,CYHU,CYKL,N/A
TOM801,B38M,GVAC,EGNT,N/A
AEA55,B789,LEMD,MPTO,N/A
PVL9231,DH8A,CYQM,CYWK,N/A
RAM208,B789,GMMN,CYUL,N/A
THY33,B789,LTFM,KIAH,N/A
AIC106,A359,KEWR,VIDP,N/A
EIN53,A333,EIDW,KSEA,N/A
AIE832,DH8C,CYQB,CYKL,N/A
DAL237,A333,EHAM,KTPA,N/A
DHK375,B763,KCVG,EBBR,N/A
DAL67,A359,LIRF,KATL,N/A
ICE671,B38M,BIKF,KDEN,N/A
TAP253,A21N,LPPT,CYUL,N/A
NSZ5702,B38M,GCLP,ESSA,N/A
SAS927,A21N,EKCH,KBOS,N/A
AAL39,B77W,EGLL,KMIA,N/A
SAS929,A333,EKCH,KATL,N/A
BAW243,B789,EGLL,MMMX,N/A
EIN125,A333,EIDW,KORD,N/A
ACA887,A333,LOWW,CYYZ,N/A
AIC116,B77W,KJFK,VABB,N/A
DAL75,A333,EHAM,KATL,N/A
DLH402,B748,EDDF,KEWR,N/A
EIN127,A21N,EIDW,CYYZ,N/A
BAW2263,B772,EGKK,MKJP,N/A
ETH501,A35K,KIAD,HAAB,N/A
NSZ5708,,GCLP,Unknown,N/A
DLH404,A343,EDDF,KJFK,N/A
KLM759,B789,EHAM,MROC,N/A
ROU1523,A319,CYYT,CYUL,N/A
SWR86,A333,LSZH,CYUL,N/A
IBS1623,A320,LEMD,GCLP,N/A
RYR4755,B738,EGGD,GCRR,N/A
WZZ1167,A21N,EPKT,BIKF,N/A
FAF4030,,GVAC,Unknown,N/A
DAL4,B764,EGLL,KJFK,N/A
CFG1479,A321,GCTS,EDDF,N/A
DLH410,A359,EDDM,KJFK,N/A
NSZ5715,B38M,EKCH,GCLP,N/A
EIN135,A21N,EINN,KBOS,N/A
VIR5,A339,EGLL,KMIA,N/A
DHK393,B77L,KCVG,EGNX,N/A
JBU2289,A21N,EHAM,KJFK,N/A
DLH412,A359,EDDM,KEWR,N/A
EIN137,A21N,EIDW,KBOS,N/A
SAS943,A333,EKCH,KORD,N/A
QTR701,B77W,OTHH,KJFK,N/A
ICE689,B38M,BIKF,KMCO,N/A
AFR816,B789,LFPG,MUHA,N/A
QTR704,B77W,KJFK,OTHH,N/A
OCN2,A333,EDDF,MDPC,N/A
AAL57,B77W,EGLL,KMIA,N/A
VIR9,A35K,EGLL,KJFK,N/A
VIR91,A333,EGLL,KMCO,N/A
DAL91,A339,EHAM,KMCO,N/A
IBE263,A332,LEMD,MDSD,N/A
TAP2427,,LPPT,Unknown,N/A
A7878786,,CYHZ,Unknown,N/A
AEA193,B788,LEMD,SKBO,N/A
EZY2729,A320,EGGD,GCTS,N/A
DAL263,B764,LFPG,KJFK,N/A
DLH418,B744,EDDF,KIAD,N/A
VJT801,GLEX,LEMD,KIAD,N/A
QTR707,B77W,OTHH,KIAD,N/A
TAP1691,A20N,LPPT,LPMA,N/A
CFG2228,A339,EDDF,MDPC,N/A
TKK31,C68A,TAPA,KTEB,N/A
DAL265,B764,LFPG,KJFK,N/A
JBU203,A320,KBOS,TXKF,N/A
AAL259,B788,LPPT,KPHL,N/A
NOS160,B789,LKPR,MDPC,N/A
AEA89,B789,LEMD,MDSD,N/A
ETH519,B788,KATL,HAAB,N/A
SAS953,A333,EKCH,KMIA,N/A
TUI2175,B38M,GCFV,EDDS,N/A
DLH424,A359,EDDM,KBOS,N/A
BAW269,A388,EGLL,KLAX,N/A
EIN87,A21N,EIDW,KCLE,N/A
EIN779,A320,GCRR,EIDW,N/A
BJN99,B737,EIDW,KJFK,N/A
ACA611,B38M,CYHZ,CYYZ,N/A
GRL1556,DH8B,BGGH,BGSF,N/A
TOM5KV,B38M,GCLP,Unknown,N/A
DLH428,A359,EDDM,KCLT,N/A
AEA97,B789,LEMD,KMIA,N/A
TAP11,A339,LPPT,SBRF,N/A
BAW275,A35K,EGLL,KLAS,N/A
EWG9543,A21N,GCLP,EDDL,N/A
TOM217,B38M,GVBA,EGCC,N/A
CFG3924,A339,EDDL,MKJS,N/A
PVL2257,DH8D,CYYT,CYHZ,N/A
DLH434,A359,EDDM,KORD,N/A
THY77,B77W,LTFM,KMIA,N/A
TOM533,B38M,GVBA,EGKK,N/A
QTR725,B77W,OTHH,KORD,N/A
THY81,A333,LTFM,KBOS,N/A
BAW49,B78X,EGLL,KSEA,N/A
UAE204,A388,KJFK,OMDB,N/A
UAE205,A388,LIMC,KJFK,N/A
BAW287,B77W,EGLL,KSFO,N/A
RYR6574,B738,EGGP,GCRR,N/A
RZO135,A320,LPPT,LPLA,N/A
AAL87,B789,EGLL,KORD,N/A
DHK3999,B763,BIKF,Unknown,N/A
BAW289,A35K,EGLL,KPHX,N/A
DLH446,A346,EDDF,KDEN,N/A
AFR50,B77W,LFPG,KIAD,N/A
PVL2271,DH8D,CYQX,CYHZ,N/A
EWG9559,A321,GCTS,EDDL,N/A
IBE307,A359,LEMD,MMMX,N/A
POE2283,DH8D,CYHZ,CYYT,N/A
BAW297,B78X,EGLL,KORD,N/A
DAL299,A339,DNMM,KJFK,N/A
QTR743,A359,OTHH,KBOS,N/A
IBE311,A359,LEMD,MMMX,N/A
TAP35,A332,LPPT,SBFZ,N/A
ETH553,A359,CYYZ,HAAB,N/A
BAW67,A35K,EGLL,KPHL,N/A
ACA954,B38M,CYUL,TFFF,N/A
MJS4172,H25B,TQPF,KTEB,N/A
VLG3048,A320,LEZL,GCLP,N/A
DLH458,A359,EDDM,KSFO,N/A
AVA11,B788,LEMD,SKBO,N/A
DAL1930,B752,KJFK,TIST,N/A
CRL942,A339,LFPO,TFFR,N/A
AVA17,B788,LEMD,SKRG,N/A
EZY3203,A320,EGPH,GCRR,N/A
VJT850,GLEX,KEWR,LOWW,N/A
RYR5555,B738,EIDW,GCTS,N/A
EZY8126,A321,GCRR,EGKK,N/A
IBE325,A359,LEMD,KJFK,N/A
DLH470,B744,EDDF,CYYZ,N/A
THY1,B77W,LTFM,KJFK,N/A
EZY3199,A320,EGPH,GCTS,N/A
DLH474,A359,EDDM,CYUL,N/A
NOS1925,,GCTS,BIKF,N/A
ETH575,B788,KORD,HAAB,N/A
THY5,B77W,LTFM,KORD,N/A
LEX8108,GL7T,LFPB,KMIA,N/A
LOT29,B789,EPWA,KMIA,N/A
PSRDR,,BIKF,Unknown,N/A
JBU20,A21N,EGLL,KJFK,N/A
THY7,B77W,LTFM,KIAD,N/A
FPY409,A20N,BIKF,KBWI,N/A
TSC253,A332,LEMG,CYUL,N/A
TVS1213,B38M,GCTS,LKPR,N/A
UAE244,B77L,CYUL,OMDB,N/A
