Callsign, AircraftType, Departure, Destination, SpawnTime, DespawnTime,Flight Time, Info, TA, RA, !BOOM!,,,,,,,,,
IBE950,A359,KOMA,OYSN,7330.62,18147.54,180.3,342,28,3,0,,,,,,,,,
EIN978,B788,CYXX,LIRF,6781.92,18153.24,189.5,105,18,2,0,,,,,,,,,
BAW147,B77W,CYTZ,VOCI,7541.94,18180.42,177.3,385,98,52,0,,,,,,,,,
LOT903,A332,KPHL,LKPR,7148.52,18206.46,184.3,16,25,7,0,,,,,,,,,
ETD159,B788,KSMF,DNAA,7292.34,18219.54,182.1,0,0,0,0,,,,,,,,,
KLM156,B788,CYXU,OEJN,6866.04,18225.18,189.3,2,0,1,0,,,,,,,,,
IBE632,A333,MMUN,VOCI,6909.9,18273.66,189.4,16,0,0,0,,,,,,,,,
LOT117,B78X,MMZP,LEBL,7106.46,18273.66,186.1,1,0,0,0,,,,,,,,,
ETD784,B77W,CYQM,FBSK,7901.1,18311.82,173.5,9,91,3,0,,,,,,,,,
IBE235,A332,MMPR,VECC,6472.98,18337.32,197.7,6,10,3,0,,,,,,,,,
DLH32,B789,CYEG,GMML,7471.08,18371.28,181.7,4,41,0,0,,,,,,,,,
SWR801,B772,KSJC,LFPG,8054.1,18450.06,173.3,0,0,0,0,,,,,,,,,
AAL586,A359,KSJC,OYSN,7706.94,18527.82,180.3,1,98,148,0,,,,,,,,,
SWR382,A343,KRNO,LCLK,7835.64,18579.84,179.1,33,18,16,0,,,,,,,,,
VIR889,B789,KBDL,VOHS,7437.42,18587.22,185.8,35,34,0,0,,,,,,,,,
TAP274,A359,KICT,LKPR,7673.34,18614.1,182.3,25,35,135,0,,,,,,,,,
LOT695,A359,KSJC,OTHH,8085.72,18614.1,175.5,29,38,3,0,,,,,,,,,
TSC335,B789,KJFK,LPPD,8433.84,18632.88,170,319,0,0,0,,,,,,,,,
LOT127,B788,CYQM,FLKK,7931.04,18652.44,178.7,0,0,0,0,,,,,,,,,
KLM742,B772,KRNO,UTAA,8025.12,18667.2,177.4,0,0,0,0,,,,,,,,,
AFR75,B789,KIAD,VOBL,8406.84,18704.58,171.6,4,6,23,0,,,,,,,,,
LOT619,A388,MMCS,EPWA,8708.34,18711.12,166.7,256,0,0,0,,,,,,,,,
UAL749,B77W,KSEA,HAAB,8377.08,18745.5,172.8,20,0,1,0,,,,,,,,,
KLM1,A359,KGRR,GQNN,7771.26,18798.72,183.8,17,0,0,0,,,,,,,,,
EIN921,B788,MMAS,OEDF,7219.5,18817.56,193.3,0,0,0,0,,,,,,,,,
SAS506,B788,KICT,GQNN,7400.82,18882.96,191.4,0,0,0,0,,,,,,,,,
TAP855,B788,CYLW,OKBK,7867.38,18897.66,183.8,0,0,0,0,,,,,,,,,
TSC839,B744,CYQX,DAAG,8627.28,18904.2,171.3,93,0,0,0,,,,,,,,,
LOT615,B789,KDEN,VECC,8489.4,18923.82,173.9,121,20,2,0,,,,,,,,,
BAW588,B763,CYFB,ORER,7572.6,18989.88,190.3,0,0,0,0,,,,,,,,,
UAE803,B748,KGEG,DTTJ,8573.46,19022.7,174.2,87,0,0,0,,,,,,,,,
EIN653,B77W,CYYT,OPIS,8261.28,19056.18,179.9,274,86,109,0,,,,,,,,,
SWR990,B789,KSYR,GVAC,8761.5,19076.82,171.9,112,63,69,0,,,,,,,,,
