Callsign, AircraftType, Departure, Destination, SpawnTime, DespawnTime,Flight Time, Info, TA, RA, !BOOM!,,,,,,,,,
UAL993,B788,MMPR,ZUUU,6655.2,17914.08,187.6,0,0,0,0,,,,,,,,,
UAE161,A359,CYZF,EGKK,7067.82,17978.7,181.8,0,0,0,0,,,,,,,,,
BAW499,A332,KPWM,EDDB,7104.12,18012.3,181.8,0,0,0,0,,,,,,,,,
TSC62,B772,KOMA,UHWW,6997.02,18026.1,183.8,0,0,0,0,,,,,,,,,
AFR604,B772,CYXX,ESGG,7660.5,18109.56,174.2,0,0,0,0,,,,,,,,,
AFR297,B744,KSMF,UWKD,8084.7,18136.62,167.5,0,0,0,0,,,,,,,,,
VIR294,B788,CYFC,EDDH,7469.04,18143.22,177.9,0,0,0,0,,,,,,,,,
KLM19,B788,KOMA,UKLL,6776.52,18150.9,189.6,0,0,0,0,,,,,,,,,
LOT896,B77W,MMAS,ZGGG,7371.96,18168.42,179.9,0,0,0,0,,,,,,,,,
AAL897,B789,KCLT,EGFF,7172.16,18301.5,185.5,0,0,0,0,,,,,,,,,
AAL184,A332,KJFK,VOCI,6490.68,18320.76,197.2,0,0,0,0,,,,,,,,,
THY626,B744,CYXY,USSS,8504.88,18339.36,163.9,0,0,0,0,,,,,,,,,
LOT651,B77W,KSYR,RJGG,8144.1,18380.34,170.6,0,0,0,0,,,,,,,,,
BAW390,A332,KTPA,EDDB,7274.7,18532.38,187.6,0,0,0,0,,,,,,,,,
TAP583,A333,CYFC,RJTT,7804.26,18597.54,179.9,0,0,0,0,,,,,,,,,
ETD241,B77L,MMPR,ZUUU,7719.3,18630.18,181.8,0,0,0,0,,,,,,,,,
VIR507,B763,KPBI,ZBAA,7032.54,18656.34,193.7,0,0,0,0,,,,,,,,,
IBE562,A359,MMZP,LFPG,7308.6,18656.34,189.1,0,0,0,0,,,,,,,,,
KLM518,A359,KGRR,EDDB,7867.74,18669.3,180,0,0,0,0,,,,,,,,,
AFR185,A388,CYQM,OEDF,7974.18,18669.36,178.3,0,0,0,0,,,,,,,,,
SWR827,A333,KIAD,OISS,6970.74,18677.16,195.1,0,0,0,0,,,,,,,,,
BAW333,B772,CYSJ,EKCH,8274.42,18721.62,174.1,0,0,0,0,,,,,,,,,
UAL510,A333,MMUN,RKSS,8194.38,18756.3,176,0,0,0,0,,,,,,,,,
THY581,B744,CYXE,EGCC,8352.84,18835.56,174.7,0,0,0,0,,,,,,,,,
DAL833,B752,KSMF,LIRF,7241.28,18850.5,193.5,0,0,0,0,,,,,,,,,
UAL742,B789,KOKC,RJGG,8434.74,18901.92,174.5,0,0,0,0,,,,,,,,,
SWR20,B77W,KSYR,OEAB,7207.74,18955.98,195.8,0,0,0,0,,,,,,,,,
SWR749,B748,KOAK,LHBP,8996.46,19050.18,167.6,0,0,0,0,,,,,,,,,
DLH993,B772,KLAX,ZGGG,7923.9,19061.4,185.6,0,0,0,0,,,,,,,,,
BAW124,B772,CYQR,UAAA,7503.66,19088.76,193.1,0,0,0,0,,,,,,,,,
SAS345,B763,KPDX,VCBI,6575.7,19095.18,208.7,0,0,0,0,,,,,,,,,
AFR561,A35K,CYQT,LFPO,8221.56,19135.02,181.9,2,0,0,0,,,,,,,,,
IBE856,A359,MMCL,EGPH,8331.42,19135.02,180.1,1,0,0,0,,,,,,,,,
ETD660,B764,KMCI,LIRF,7536.54,19160.22,193.7,0,0,0,0,,,,,,,,,
KLM627,B77W,CYHM,LSZH,7832.34,19181.76,189.2,0,0,0,0,,,,,,,,,
KLM629,B772,KMSY,EGKK,8531.04,19211.76,178,0,0,0,0,,,,,,,,,
DAL966,B77L,KDLH,EDDB,9016.92,19257.42,170.7,0,0,0,0,,,,,,,,,
UAE371,A332,KMSP,EGHI,7888.38,19263,189.6,0,0,0,0,,,,,,,,,
DLH236,B789,CYZF,OMDB,8173.92,19308.66,185.6,0,0,0,0,,,,,,,,,
SAS483,B788,MMZP,ULLI,8405.7,19314.36,181.8,0,0,0,0,,,,,,,,,
AAL302,A332,CYYR,UUEE,8060.28,19322.82,187.7,0,0,0,0,,,,,,,,,
TSC292,A332,KSTL,VOBL,7749.12,19355.58,193.4,0,0,0,0,,,,,,,,,
SWR250,B77W,KMSP,URSS,8898.3,19361.22,174.4,0,0,0,0,,,,,,,,,
TSC864,B772,KFLL,VEBS,8004.12,19368.54,189.4,0,0,0,0,,,,,,,,,
DAL57,B788,KMSP,ENBR,8706.54,19381.62,177.9,0,0,0,0,,,,,,,,,
ETD850,A332,KFNT,OLBA,7564.38,19396.56,197.2,0,0,0,0,,,,,,,,,
DAL389,B772,KDSM,UUDD,8967.3,19414.44,174.1,0,0,0,0,,,,,,,,,
SAS434,B78X,KSFO,LIRF,8044.38,19441.38,190,0,0,0,0,,,,,,,,,
TAP291,B78X,CYEG,EGCC,8556.06,19514.28,182.6,0,0,0,0,,,,,,,,,
KLM450,B763,CYQR,OBBI,7438.2,19527.3,201.5,0,0,0,0,,,,,,,,,
UAL703,B748,KPWM,ENGM,9733.74,19567.56,163.9,0,0,0,0,,,,,,,,,
TSC504,B744,KSFO,ZUUU,9202.74,19580.4,173,0,0,0,0,,,,,,,,,
TSC21,B772,KSTL,FABL,7603.56,19600.02,199.9,0,0,0,0,,,,,,,,,
TAP263,B77W,KLAS,EICM,8825.04,19628.16,180.1,0,0,0,0,,,,,,,,,
BAW627,A339,KDEN,ULLI,8381.64,19641.18,187.7,0,0,0,0,,,,,,,,,
DAL457,A35K,KBIS,LIMC,8307.24,19653.18,189.1,0,0,0,0,,,,,,,,,
LOT192,B77L,KLGA,LFPO,7947.06,19698.36,195.9,0,0,0,0,,,,,,,,,
ETD669,A35K,KMSY,EDDB,9467.88,19706.7,170.6,0,0,0,0,,,,,,,,,
UAE167,A339,KALB,LFLL,8250.24,19731.96,191.4,0,0,0,0,,,,,,,,,
IBE231,A333,KJAX,ZGSZ,8946.72,19740.24,179.9,0,0,0,0,,,,,,,,,
THY749,B772,KOKC,EPKK,9062.64,19747.74,178.1,0,0,0,0,,,,,,,,,
UAE130,B78X,KTUS,EBLL,9533.58,19812.36,171.3,0,0,0,0,,,,,,,,,
AAL34,A339,KDLH,VECC,8118.06,19825.14,195.1,0,0,0,0,,,,,,,,,
AAL888,B764,KMKE,ULLI,8921.34,19825.2,181.7,0,0,0,0,,,,,,,,,
KLM594,A333,MMUN,UNNT,8682.42,19825.2,185.7,0,0,0,0,,,,,,,,,
THY616,B789,CYQX,RJTT,9369,19834.62,174.4,0,0,0,0,,,,,,,,,
AAL973,B788,KBWI,EGMC,9189.6,19858.98,177.8,0,0,0,0,,,,,,,,,
VIR661,B789,KLIT,VOCI,8754.3,19886.1,185.5,0,0,0,0,,,,,,,,,
IBE220,B788,KPBI,ORBI,7701.36,19953.06,204.2,0,0,0,0,,,,,,,,,
BAW382,B763,KDSM,ZUUU,8480.58,19987.68,191.8,1,0,0,0,,,,,,,,,
TAP602,B764,KFNT,URSS,8873.64,20018.4,185.7,0,0,0,0,,,,,,,,,
AFR131,B789,CYHZ,LZIB,9110.94,20025.9,181.9,0,0,0,0,,,,,,,,,
UAE982,B764,MMMX,EINN,8454.36,20076.42,193.7,1,0,0,0,,,,,,,,,
THY500,A359,KJAX,RKSI,9312.24,20110.98,180,0,0,0,0,,,,,,,,,
BAW446,B748,CYLW,EBBR,8848.38,20137.26,188.1,0,0,0,0,,,,,,,,,
TAP515,A343,KFAR,OYAA,8803.56,20149.56,189.1,0,0,0,0,,,,,,,,,
