Callsign, AircraftType, Departure, Destination, SpawnTime, DespawnTime,Flight Time, Info, TA, RA, !BOOM!,,,,,,,,,
ETD615,A333,KPHX,LFMN,6523.2,18229.14,195.1,0,0,0,0,,,,,,,,,
LOT682,B788,KPHL,LHBP,6020.34,18267.36,204.1,0,0,0,0,,,,,,,,,
AAL543,A359,CYFB,UUDD,8083.38,18320.7,170.6,0,0,0,0,,,,,,,,,
DLH485,B763,KDLH,ULLI,7223.52,18373.02,185.8,0,0,0,0,,,,,,,,,
IBE290,A359,KGEG,UWKD,7469.46,18379.56,181.8,0,0,0,0,,,,,,,,,
LOT664,B77W,CYYJ,LDZA,7330.38,18464.04,185.6,0,0,0,0,,,,,,,,,
BAW749,A359,CYQX,EDDP,8026.02,18491.88,174.4,0,0,0,0,,,,,,,,,
SWR382,B789,KSFO,LHBP,7196.46,18544.32,189.1,0,0,0,0,,,,,,,,,
THY920,B788,CYFC,EGAA,7900.98,18570.48,177.8,0,0,0,0,,,,,,,,,
TSC914,B748,CYXE,LWSK,7931.7,18631.44,178.3,0,0,0,0,,,,,,,,,
DLH464,B788,KOMA,LBWN,7258.98,18637.08,189.6,0,0,0,0,,,,,,,,,
DAL206,B772,KSYR,UUWW,7615.32,18643.68,183.8,0,0,0,0,,,,,,,,,
IBE318,B77W,KMCI,OTBD,6908.7,18656.82,195.8,0,0,0,0,,,,,,,,,
VIR917,B748,CYVR,ZGSZ,8630.88,18683.82,167.5,0,0,0,0,,,,,,,,,
SWR425,A339,KDTW,FABL,6608.4,18729.96,202,0,0,0,0,,,,,,,,,
KLM355,B78X,KBTV,EBLL,8462.58,18742.98,171.3,0,0,0,0,,,,,,,,,
SAS470,B748,CYYZ,EGLL,9048.24,18881.76,163.9,0,0,0,0,,,,,,,,,
DLH490,A333,CYXX,EIDW,7740.96,18881.76,185.7,0,0,0,0,,,,,,,,,
BAW981,B772,CYEG,EGPH,8206.2,18888.36,178,0,0,0,0,,,,,,,,,
IBE677,B763,KJFK,UHWW,7804.32,18948.12,185.7,0,0,0,0,,,,,,,,,
DAL517,B788,CYXU,EGSS,7363.98,18968.94,193.4,0,0,0,0,,,,,,,,,
THY515,B789,CYOW,EETN,8742.9,18981.12,170.6,0,0,0,0,,,,,,,,,
EIN591,A35K,KJAX,LSGG,7870.74,19000.62,185.5,0,0,0,0,,,,,,,,,
SWR37,A359,CYYT,URSS,8545.92,19014.66,174.5,0,0,0,0,,,,,,,,,
SWR61,B763,CYQR,VABB,7156.38,19014.66,197.6,0,0,0,0,,,,,,,,,
SWR901,B77W,KMIA,GMMX,7675.56,19027.74,189.2,0,0,0,0,,,,,,,,,
BAW842,B77W,CYHZ,EGKK,8234.46,19034.64,180,0,0,0,0,,,,,,,,,
LOT328,A339,KCHS,EGLL,8498.28,19060.44,176,0,0,0,0,,,,,,,,,
KLM14,B744,MMMX,FLKK,7841.76,19133.28,188.2,0,0,0,0,,,,,,,,,
SAS566,A332,KBIS,LBWN,7772.4,19146.24,189.6,0,0,0,0,,,,,,,,,
ETD803,B748,KGRR,LFLL,8710.38,19193.94,174.7,0,0,0,0,,,,,,,,,
IBE138,A339,CYZF,FAOR,7105.74,19224.78,202,0,0,0,0,,,,,,,,,
SAS256,B744,KGRR,OLBA,8355.96,19258.32,181.7,0,0,0,0,,,,,,,,,
BAW601,B78X,CYFC,UNNT,8766.36,19270.68,175.1,0,0,0,0,,,,,,,,,
EIN551,B772,CYHM,LHBP,8173.56,19310.82,185.6,4,0,0,0,,,,,,,,,
DLH298,B772,KBOI,UUDD,8290.32,19317.36,183.8,4,0,0,0,,,,,,,,,
UAE625,B788,MMMX,EGLL,8433.6,19342.5,181.8,0,0,0,0,,,,,,,,,
AAL98,A332,CYYT,LSZH,7512.42,19342.5,197.2,0,0,0,0,,,,,,,,,
THY172,A388,KOAK,ZGSZ,9203.16,19382.64,169.7,0,0,0,0,,,,,,,,,
VIR395,B744,CYQX,LSZH,9349.86,19403.28,167.6,0,0,0,0,,,,,,,,,
BAW467,B77W,KMSP,LZIB,8572.38,19481.76,181.8,0,0,0,0,,,,,,,,,
TAP791,B748,KPWM,EGAA,9666.06,19500.78,163.9,0,0,0,0,,,,,,,,,
UAL932,A333,KDTW,EGMC,8376.48,19521.9,185.8,0,0,0,0,,,,,,,,,
SWR876,A333,KSFO,LJLJ,8266.08,19521.9,187.6,0,0,0,0,,,,,,,,,
