Callsign, AircraftType, Departure, Destination, SpawnTime, DespawnTime,Flight Time, Info, TA, RA, !BOOM!,,,,,,,,,
TSC318,A339,EGBB,KBNA,27208.26,31344.78,68.9,2,0,0,0,,,,,,,,,
TAP448,A332,VOMM,KBWI,26758.38,31356.84,76.6,0,1,0,0,,,,,,,,,
BAW406,B744,WIII,MMMX,32587.62,34643.1,34.3,0,0,0,0,,,,,,,,,
EIN108,A333,ZGGG,KBUF,33456.18,34643.1,19.8,0,1,0,0,,,,,,,,,
TSC934,B789,UUDD,KROC,32254.2,34647.9,39.9,0,0,0,0,,,,,,,,,
DAL391,B77L,LTFM,CYYT,30654.3,34647.9,66.6,0,0,0,0,,,,,,,,,
AAL722,B77W,LEBL,MMZP,32112.48,34647.9,42.3,0,0,0,0,,,,,,,,,
DAL426,A359,VTBS,MMUN,24634.8,34923.12,171.5,0,0,0,0,,,,,,,,,
KLM288,A359,VOBL,KBDL,29100.18,35307.24,103.5,0,0,0,0,,,,,,,,,
SAS405,B77W,VTBS,KBDL,24461.94,35334.24,181.2,0,0,0,0,,,,,,,,,
AFR220,A35K,RJTT,CYQX,34991.28,35347.38,5.9,0,1,0,0,,,,,,,,,
LOT200,A339,VABB,TBPB,30871.44,35511.24,77.3,0,0,0,0,,,,,,,,,
VIR231,A333,EGPH,MMTJ,31182.42,35523.42,72.4,0,0,1,0,,,,,,,,,
DLH565,A343,RJAA,CYQX,31657.2,36242.7,76.4,0,0,0,0,,,,,,,,,
SWR631,A359,EGPH,KPBI,31760.1,36242.7,74.7,0,0,0,0,,,,,,,,,
TSC410,A332,EGLL,KBDL,25345.44,36249.18,181.7,0,0,0,0,,,,,,,,,
ETD196,B77L,RJBB,TJSJ,33941.7,36275.16,38.9,0,1,0,0,,,,,,,,,
VIR239,B77W,VHHH,KPHL,34052.88,36288.18,37.3,0,1,0,0,,,,,,,,,
SAS396,B77W,ZSPD,MTPP,25926.66,36507.36,176.3,0,0,0,0,,,,,,,,,
TAP469,B77W,UUDD,KCHS,33702,36902.1,53.3,0,0,0,0,,,,,,,,,
EIN350,B789,EDDF,KCLT,33886.86,36902.1,50.3,0,0,0,0,,,,,,,,,
TAP727,A332,EDDF,MMAS,26061.06,37033.44,182.9,0,0,0,0,,,,,,,,,
THY306,B772,LEMD,MMCS,26674.32,37081.98,173.5,0,0,0,0,,,,,,,,,
DLH39,A333,VIDP,KMSY,33518.52,37107.24,59.8,0,0,0,0,,,,,,,,,
UAL692,A332,EGPH,MKJS,33335.94,37118.52,63,0,1,0,0,,,,,,,,,
DLH328,A359,LTFM,MUHA,36914.34,37165.14,4.2,0,1,0,0,,,,,,,,,
UAL156,B789,VOMM,KBWI,36766.32,37170.9,6.7,0,1,0,0,,,,,,,,,
TAP31,A359,LIMC,KSYR,36303.96,37773.6,24.5,0,0,0,0,,,,,,,,,
DLH421,B788,LFLL,MDSD,34439.52,37773.6,55.6,2,0,1,0,,,,,,,,,
BAW869,B77W,WIII,TTPP,36463.5,37773.6,21.8,0,0,0,0,,,,,,,,,
THY969,B788,EDDM,MDPC,34692.54,37794.12,51.7,0,0,1,0,,,,,,,,,
DAL512,B77W,LFPO,MMZP,27468.72,37945.5,174.6,0,0,0,0,,,,,,,,,
DLH308,B789,EDDH,MUHA,33130.32,38202.96,84.5,0,0,2,0,,,,,,,,,
DLH616,B789,LIMC,KPBI,36057.36,38202.96,35.8,1,0,0,0,,,,,,,,,
DAL90,B77W,EGLL,MMCL,33204.24,38229.18,83.7,0,0,1,0,,,,,,,,,
