Callsign, AircraftType, Departure, Destination, SpawnTime, DespawnTime,Flight Time, Info, TA, RA, !BOOM!,,,,,,,,,
AFR127,A332,MMZP,EDDF,7184.88,18446.22,187.7,1,0,0,0,,,,,,,,,
TSC380,B77W,KFLL,EDDB,7727.7,18530.94,180.1,0,0,0,0,,,,,,,,,
UAE685,B748,KMIA,LSGG,8078.28,18563.82,174.8,0,0,0,0,,,,,,,,,
SAS135,B788,CYXU,EGPH,7670.52,18577.02,181.8,0,0,0,0,,,,,,,,,
ETD275,B789,KMSO,EVRA,8401.68,18634.8,170.6,0,0,0,0,,,,,,,,,
SAS506,B772,KDSM,UNNT,7620.06,18643.2,183.7,0,0,0,0,,,,,,,,,
ETD915,B788,KDTW,LPPT,6440.4,18688.02,204.1,0,0,0,0,,,,,,,,,
AFR937,B748,CYFB,EDDP,8646.48,18702.12,167.6,0,0,0,0,,,,,,,,,
DLH792,B77W,CYQM,LJLJ,7580.82,18715.68,185.6,0,0,0,0,,,,,,,,,
IBE968,B772,KROC,LSZH,8108.1,18787.2,178,0,0,0,0,,,,,,,,,
TSC74,B788,CYQT,UTSS,6971.82,18802.2,197.2,0,0,0,0,,,,,,,,,
AFR520,B772,KLAX,OBBI,6925.98,18921.12,199.9,0,0,0,0,,,,,,,,,
KLM695,A359,KDSM,EBBR,8045.58,18960.6,181.9,0,0,0,0,,,,,,,,,
VIR335,B788,CYQT,LIMC,7390.2,18993.42,193.4,0,0,0,0,,,,,,,,,
TSC815,B77W,KPBI,UWKD,8272.8,19073.1,180,0,0,0,0,,,,,,,,,
IBE540,B789,CYHZ,UNNT,8616.36,19079.7,174.4,0,0,0,0,,,,,,,,,
LOT729,B78X,KRNO,LHBP,8240.28,19087.2,180.8,0,0,0,0,,,,,,,,,
DAL979,A339,KATL,LHBP,7464.96,19172.1,195.1,0,0,0,0,,,,,,,,,
TSC284,B744,KBWI,EGPH,9359.7,19197.24,164,0,0,0,0,,,,,,,,,
EIN197,A339,MMTJ,UTSB,7940.82,19197.24,187.6,1,0,0,0,,,,,,,,,
AAL287,B764,KDEN,EDDL,7691.1,19197.24,191.8,0,0,0,0,,,,,,,,,
DAL24,B752,CYHM,EDDF,8306.34,19216.86,181.8,0,0,0,0,,,,,,,,,
SWR450,B752,CYYZ,LSZH,7981.92,19243.08,187.7,1,0,0,0,,,,,,,,,
UAE677,A388,KFLL,UHWW,8970.48,19250.52,171.3,0,0,0,0,,,,,,,,,
TAP122,B77W,KDTW,ENGM,9110.22,19347.54,170.6,0,0,0,0,,,,,,,,,
KLM198,B764,KLGA,ZSPD,8208.3,19355.94,185.8,0,0,0,0,,,,,,,,,
THY851,B772,CYSJ,UHWW,8911.32,19361.58,174.2,0,0,0,0,,,,,,,,,
UAL237,A332,KLAX,UHWW,8705.04,19375.62,177.8,0,0,0,0,,,,,,,,,
SAS381,B744,KBDL,LFMN,8561.16,19461.48,181.7,0,0,0,0,,,,,,,,,
KLM604,A359,KMKE,LEMD,8337.3,19467.96,185.5,0,0,0,0,,,,,,,,,
DAL533,B789,MMCL,OEDF,8142.72,19487.58,189.1,0,0,0,0,,,,,,,,,
BAW945,B772,KDEN,OEJN,7905.3,19487.58,193,0,0,0,0,,,,,,,,,
UAE115,B77W,KDLH,LIRF,7801.74,19552.8,195.9,0,0,0,0,,,,,,,,,
SAS923,B77W,CYVR,LOWW,8678.1,19592.04,181.9,0,0,0,0,,,,,,,,,
BAW306,B788,MMUN,EDDM,8007.3,19610.88,193.4,0,0,0,0,,,,,,,,,
LOT798,A359,KMKE,EDDF,9166.2,19631.34,174.4,0,0,0,0,,,,,,,,,
IBE729,B788,KMSO,LSGG,8495.1,19756.62,187.7,0,0,0,0,,,,,,,,,
UAE876,A333,KBIL,EDDH,8525.22,19781.7,187.6,0,0,0,0,,,,,,,,,
LOT184,B788,CYQM,OKBK,7541.64,19794.78,204.2,0,0,0,0,,,,,,,,,
DLH373,B772,KDLH,LIMC,8431.56,19794.84,189.4,0,0,0,0,,,,,,,,,
THY237,A339,KLGA,USSS,9056.04,19849.02,179.9,0,0,0,0,,,,,,,,,
TSC529,B788,KSMF,UUWW,9194.1,19868.52,177.9,0,0,0,0,,,,,,,,,
KLM286,B748,KLAX,LROP,9225.96,19922.7,178.3,0,0,0,0,,,,,,,,,
DLH691,B77W,KBIS,EGMC,9139.14,19942.38,180.1,0,0,0,0,,,,,,,,,
UAE136,B77L,CYFC,UAII,8852.88,19981.8,185.5,0,0,0,0,,,,,,,,,
LOT248,A388,CYFB,EGAA,10148.16,20009.16,164.4,0,0,0,0,,,,,,,,,
KLM640,A333,KJAX,UTAA,8374.5,20083.8,195.2,0,0,0,0,,,,,,,,,
SWR81,A35K,KIAD,RKSI,9630.06,20095.98,174.4,0,0,0,0,,,,,,,,,
TSC573,B772,CYZF,UHWW,9082.08,20110.08,183.8,0,0,0,0,,,,,,,,,
IBE849,B789,KMIA,GMMN,8765.76,20116.5,189.2,0,0,0,0,,,,,,,,,
TSC891,A333,CYQT,UUWW,8999.16,20141.94,185.7,0,0,0,0,,,,,,,,,
TAP365,A359,CYFB,LFMN,9251.28,20160.6,181.8,0,0,0,0,,,,,,,,,
UAE311,B764,KTPA,EGLL,9030.72,20174.82,185.7,0,0,0,0,,,,,,,,,
AAL349,B78X,CYYJ,EDDL,9684.36,20194.02,175.2,0,0,0,0,,,,,,,,,
THY552,B78X,CYYC,ZSPD,9943.14,20221.08,171.3,0,0,0,0,,,,,,,,,
KLM614,A388,KATL,VABB,9761.1,20254.68,174.9,0,0,0,0,,,,,,,,,
TSC381,A333,KMCI,OYAA,8174.58,20300.46,202.1,0,0,0,0,,,,,,,,,
UAE814,B748,KMSY,EGKK,9813.24,20300.46,174.8,0,0,0,0,,,,,,,,,
TSC619,B77L,KDTW,EGKK,10072.32,20306.04,170.6,0,0,0,0,,,,,,,,,
AAL45,A333,KLGA,EGGD,8830.32,20312.64,191.4,0,0,0,0,,,,,,,,,
LOT896,A333,CYVR,ULLI,9787.08,20345.4,176,0,0,0,0,,,,,,,,,
DAL354,A388,KLIT,UTSS,9658.14,20351.22,178.2,0,0,0,0,,,,,,,,,
AFR200,B763,KBIL,ULLI,8735.82,20358.42,193.7,0,0,0,0,,,,,,,,,
SWR288,B763,CYXY,LHBP,8940.42,20444.52,191.7,0,0,0,0,,,,,,,,,
ETD466,A339,KFAR,ZSPD,9708.78,20503.44,179.9,0,0,0,0,,,,,,,,,
KLM67,B772,CYXE,URSS,9386.88,20522.94,185.6,0,0,0,0,,,,,,,,,
TSC856,A359,KJAX,LSZH,9735.9,20536.98,180,0,0,0,0,,,,,,,,,
TSC57,B789,KBTV,LBSF,8796.54,20550.12,195.9,0,0,0,0,,,,,,,,,
BAW473,B789,KMHT,EGSS,9425.1,20556.66,185.5,0,0,0,0,,,,,,,,,
KLM595,B744,CYWG,ESSA,10755.78,20589.24,163.9,0,0,0,0,,,,,,,,,
BAW24,B789,CYFB,EPWA,10199.52,20660.94,174.4,0,0,0,0,,,,,,,,,
AAL306,B764,KFAR,EPKK,8586.36,20674.92,201.5,0,0,0,0,,,,,,,,,
SWR190,A35K,KBWI,EBBR,9331.62,20681.46,189.2,0,0,0,0,,,,,,,,,
DLH117,B788,KICT,OIFM,8882.46,20715.18,197.2,0,0,0,0,,,,,,,,,
DLH915,A339,MMCL,EGLL,9521.52,20780.58,187.7,0,0,0,0,,,,,,,,,
TSC363,B744,KPDX,OPLA,9495.3,20787,188.2,0,0,0,0,,,,,,,,,
ETD623,B763,CYYZ,UNNT,9890.82,20794.44,181.7,0,0,0,0,,,,,,,,,
TSC814,B772,KGRR,LBSF,9304.44,20885.94,193,0,0,0,0,,,,,,,,,
LOT761,B772,CYYG,EPKK,10255.02,20940.3,178.1,0,0,0,0,,,,,,,,,
DAL674,B763,CYYZ,OEAB,8463.3,20980.56,208.6,0,0,0,0,,,,,,,,,
VIR831,B789,CYXU,ZGSZ,10782.78,21018.6,170.6,0,0,0,0,,,,,,,,,
AAL22,B77W,CYXU,EGMC,10122.96,21031.8,181.8,0,0,0,0,,,,,,,,,
THY680,A333,CYXY,ULLI,10480.08,21039.3,176,0,0,0,0,,,,,,,,,
AFR796,A333,KLAX,EDDP,9578.88,21065.46,191.4,0,0,0,0,,,,,,,,,
KLM765,A359,KMSO,UTSS,9974.28,21103.8,185.5,0,0,0,0,,,,,,,,,
VIR289,A359,KLAS,EDDF,10709.88,21175.86,174.4,0,0,0,0,,,,,,,,,
AAL627,A332,KPBI,EPWA,9919.74,21182.4,187.7,0,0,0,0,,,,,,,,,
DAL227,B744,KBDL,OEJN,10277.4,21182.4,181.8,0,0,0,0,,,,,,,,,
UAE226,B77W,KTPA,OYSN,9840.48,21188.94,189.1,0,0,0,0,,,,,,,,,
TSC791,B748,KOAK,EGLL,11160.18,21216.06,167.6,0,0,0,0,,,,,,,,,
AFR492,B77W,CYLW,EGPF,10427.88,21228.24,180,0,0,0,0,,,,,,,,,
TSC733,A346,KCLT,VOMM,9869.4,21234.72,189.4,0,0,0,0,,,,,,,,,
DLH236,B763,KSJC,ENZV,10380,21287.16,181.8,0,0,0,0,,,,,,,,,
