Callsign, AircraftType, Departure, Destination, SpawnTime, DespawnTime,Flight Times, Info, TA, RA, !BOOM!,,,,,,,,,
THY754,B789,KGEG,OKBK,6661.08,17876.34,186.9,1,16,4,0,,,,,,,,,
LOT197,B763,KSFO,UAAA,6226.8,17889.42,194.4,35,260,26,0,,,,,,,,,
SAS928,B788,CYHM,GVAC,6361.26,17979.6,193.6,0,0,0,0,,,,,,,,,
KLM345,A35K,KRNO,OIII,7562.16,17992.74,173.8,1,0,0,0,,,,,,,,,
AFR194,B77W,KBOI,LWSK,7688.34,17999.34,171.9,2,0,0,0,,,,,,,,,
KLM798,B77W,KRNO,FABL,7654.62,18040.44,173.1,0,1,2,0,,,,,,,,,
LOT129,B789,KOMA,ORER,6574.14,18060.18,191.4,21,56,6,0,,,,,,,,,
TAP16,B77W,KGEG,EHAM,7623.84,18105.72,174.7,0,1,1,0,,,,,,,,,
AFR431,B763,CYFC,EDDB,6532.26,18152.22,193.7,0,2,2,0,,,,,,,,,
AFR529,B789,CYQX,VABB,7436.76,18236.1,180,1,0,0,0,,,,,,,,,
IBE85,B789,CYQT,HBBA,7041.78,18301.62,187.7,61,45,29,0,,,,,,,,,
DAL204,A388,CYZF,OIMM,8274.48,18301.68,167.1,96,7,25,0,,,,,,,,,
BAW438,B789,KPBI,LCLK,8031.24,18354.3,172.1,17,0,2,0,,,,,,,,,
UAE188,B763,CYHZ,EDDP,6776.46,18361.62,193.1,0,0,0,0,,,,,,,,,
KLM468,A359,KTPA,OISS,8002.32,18413.64,173.5,0,0,0,0,,,,,,,,,
SAS447,A332,CYHZ,GQNN,7509.12,18453.54,182.4,0,0,0,0,,,,,,,,,
UAE143,A35K,KPHL,EPKK,7341.36,18478.74,185.6,1,0,1,0,,,,,,,,,
UAL446,B744,KDEN,DNMM,8247.36,18492.78,170.8,147,7,2,0,,,,,,,,,
ETD888,B788,KJAX,LCLK,7860.3,18572.22,178.5,244,128,3,0,,,,,,,,,
VIR609,B788,KFAR,UKLL,7593.18,18632.82,184,73,78,0,0,,,,,,,,,
AFR890,B744,CYUL,EDDM,7950.18,18641.16,178.2,126,0,0,0,,,,,,,,,
ETD724,A333,KSMF,OMDB,7470.18,18657.06,186.4,97,53,29,0,,,,,,,,,
ETD884,A332,CYZF,DNKN,7173.12,18669.42,191.6,22,0,0,0,,,,,,,,,
LOT615,A388,CYYR,VOMM,8086.98,18682.26,176.6,165,4,0,0,,,,,,,,,
BAW963,B78X,CYQT,DTTJ,8430.72,18682.26,170.9,268,0,0,0,,,,,,,,,
DLH271,A339,MMMX,VIDP,7306.86,18713.94,190.1,41,144,7,0,,,,,,,,,
LOT403,B763,KMHT,OJAI,6962.46,18715.74,195.9,0,0,0,0,,,,,,,,,
